annotation,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,estimate,std.error,p.value.orig,fdr_significant
Marrow.regulatory_T_cell,1.543322083671569e-4,7.890631309015461e-5,2.2117507774560776,2.046143539966191,0.9236920728485676,2,-29335.280690897605,58676.56138179521,58699.038451063614,64846.25094491218,13256,-0.2615015886600313,0.1828126664535462,0.15261585430286492,FALSE
Heart.cardiac_muscle_cell,1.6014305292149324e-4,8.471759600026108e-5,2.2117443503848566,2.1231963246686982,0.9274464150678218,2,-29335.242164751293,58676.484329502586,58698.96139877099,64845.87407526489,13256,-0.1602534877997814,0.10997967032943004,0.14510716986435648,FALSE
Lung.epithelial_cell_of_lung,1.689080041262455e-4,9.348320841140456e-5,2.2117346558954543,2.239422759126149,0.9327224992709037,2,-29335.18405232879,58676.36810465758,58698.84517392598,64845.30561330755,13256,-0.186976758603852,0.12494520181086943,0.13455500145819269,FALSE
Limb_Muscle.T_cell,1.7386451516464678e-4,9.844009335679971e-5,2.2117291737190596,2.305148796600461,0.9355151101846043,2,-29335.151189984957,58676.302379969915,58698.77944923832,64844.984152537196,13256,-0.3086699205344327,0.2033034872092003,0.12896977963079134,FALSE
Lung.B_cell,1.8734718844848257e-4,1.1192378374025314e-4,2.2117142610650915,2.48393968919013,0.9424811507017345,2,-29335.061797198898,58676.123594397795,58698.6006636662,64844.10971676842,13256,-0.2674811659608574,0.16971595967155007,0.11503769859653082,FALSE
Trachea.endothelial_cell,1.887977172068098e-4,1.1337442192294045e-4,2.2117126566863634,2.5031751330443583,0.9431795586852773,2,-29335.052179835,58676.10435967,58698.5814289384,64844.01564089762,13256,-0.18524402480143587,0.11708428022108386,0.11364088262944552,FALSE
Marrow.mature_natural_killer_cell,1.901577444844679e-4,1.1473455179777936e-4,2.2117111524070756,2.5212104885859867,0.9438259094167368,2,-29335.043162505586,58676.08632501117,58698.563394279576,64843.92743461441,13256,-0.26478563301296887,0.16675922359773301,0.11234818116652635,FALSE
Marrow.granulocyte,1.9302993558202564e-4,1.1760695956630762e-4,2.211707975572154,2.559298847366974,0.94516448295543,2,-29335.0241191022,58676.0482382044,58698.5253074728,64843.74115504079,13256,-0.1786362654924088,0.11166295853802574,0.10967103408914007,FALSE
Marrow.B_cell,1.947067700155443e-4,1.1928392049609382e-4,2.21170612087932,2.5815355857816433,0.945929725572623,2,-29335.013001211337,58676.026002422674,58698.50307169108,64843.632401830204,13256,-0.2791609841386332,0.17374633912109758,0.1081405488547539,FALSE
Marrow.precursor_B_cell,1.9695434229182547e-4,1.2153166232364843e-4,2.2117036349092074,2.611341076384637,0.946937100904266,2,-29334.998099136432,58675.996198272864,58698.47326754127,64843.48663269749,13256,-0.19707449694067417,0.12195472367602857,0.10612579819146807,FALSE
Lung.unknown_cell_type,2.0618178741910472e-4,1.3075980354670946e-4,2.2116934286885392,2.7337094151211465,0.9508627380314517,2,-29334.936918070533,58675.873836141065,58698.35090540947,64842.888175113905,13256,-0.2960513559849483,0.17905682538390177,0.09827452393709656,FALSE
Fat.mesenchymal_stem_cell_of_adipose,2.2734170527416862e-4,1.5192131765384698e-4,2.211670024113496,3.0143269273382938,0.9587225278618542,2,-29334.79661856351,58675.59323712702,58698.07030639542,64841.5158219724,13256,-0.16199628432115792,0.09330606552490565,0.08255494427629159,FALSE
Kidney.endothelial_cell,2.2864147232827108e-4,1.5322118275917784e-4,2.2116685864582735,3.031564498553969,0.9591587788807907,2,-29334.788000442848,58675.576000885696,58698.0530701541,64841.431523941945,13256,-0.23314852376110354,0.13390576152134329,0.0816824422384186,FALSE
Fat.natural_killer_cell,2.4683505296840683e-4,1.714161358782329e-4,2.2116484626802237,3.2728533170710783,0.9647711687744993,2,-29334.667366517475,58675.33473303495,58697.81180230335,64840.251556339164,13256,-0.3153243253220871,0.1742987226619626,0.07045766245100149,FALSE
Lung.stromal_cell,2.575319881986855e-4,1.8211387805899815e-4,2.2116366307978805,3.414723436077417,0.9676802491082829,2,-29334.596438646997,58675.192877293994,58697.6699465624,64839.55779312287,13256,-0.1842184237651946,0.09969084895125757,0.06463950178343422,FALSE
Trachea.mesenchymal_cell,2.721632560535611e-4,1.9674624966070642e-4,2.211620447046878,3.608778299098263,0.9712514952933397,2,-29334.499422277833,58674.99884455567,58697.47591382407,64838.60886380555,13256,-0.17418699516469052,0.09169288260143801,0.057497009413320796,FALSE
Trachea.epithelial_cell,2.72787194514073e-4,1.9737023518962005e-4,2.2116197569014098,3.6170537364197166,0.9713941372951246,2,-29334.49528506248,58674.99057012496,58697.46763939336,64838.568397490315,13256,-0.2133435709503591,0.11217655012996312,0.057211725409750766,FALSE
Marrow.monocyte,2.9700888394863567e-4,2.2159375184882535e-4,2.211592964847193,3.938319481496947,0.9763907557275404,2,-29334.334673725356,58674.66934745071,58697.146416719115,64836.99746929411,13256,-0.24239472688642053,0.12214275062420374,0.04721848854491916,FALSE
Marrow.immature_NK_T_cell,3.05564637876771e-4,2.3015015120186888e-4,2.211583501093533,4.051802927388732,0.9779278120324746,2,-29334.277940539618,58674.555881079235,58697.03295034764,64836.442575089815,13256,-0.3556612298476671,0.17669016201651477,0.044144375935050884,FALSE
Pancreas.pancreatic_ductal_cell,3.0811825272333474e-4,2.327039586869084e-4,2.211580676462391,4.085674428966775,0.9783658771335614,2,-29334.261007431014,58674.52201486203,58696.99908413043,64836.27695718048,13256,-0.19701323966044132,0.09746833208241948,0.04326824573287732,FALSE
Mammary_Gland.endothelial_cell,3.1218195061100926e-4,2.3676796312988024e-4,2.211576181474975,4.1395762382843095,0.9790442421005919,2,-29334.234060820225,58674.46812164045,58696.94519090885,64836.01340093228,13256,-0.30771608480568674,0.15124194554915135,0.04191151579881621,FALSE
Marrow.immature_natural_killer_cell,3.2415012046564564e-4,2.4873703583372375e-4,2.211562943042872,4.29832730020476,0.9809154255941097,2,-29334.15469857189,58674.30939714378,58696.78646641218,64835.23719019221,13256,-0.38935289787732774,0.18779917077977085,0.03816914881178062,FALSE
Marrow.immature_T_cell,3.4690783923567084e-4,2.714964713900203e-4,2.2115377696759495,4.600206164488614,0.9840068839822234,2,-29334.003787018955,58674.00757403791,58696.484643306314,64833.76120965859,13256,-0.33900493058191883,0.15805832197414377,0.03198623203555324,FALSE
Skin.leukocyte,3.537933001628313e-4,2.783824517395006e-4,2.2115301532922045,4.691543823730748,0.9848354152965028,2,-29333.958127301554,58673.91625460311,58696.39332387151,64833.31464441203,13256,-0.37196306221775616,0.17172832174857994,0.03032916940699445,FALSE
