annotation,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,estimate,std.error,p.value.orig,fdr_significant
Lung.ciliated columnar cell of tracheobronchial tree,5.337396880588207e-5,-2.2122190199924674e-5,2.2680708599778376,0.7069759509462603,0.7997676334269175,2,-29644.03946596899,59294.07893193798,59316.55351111003,68134.20616578865,13245,-0.10538304263571334,0.12533385939380656,0.40046473314616493,FALSE
Large_Intestine.epithelial cell of large intestine,5.966194748372004e-5,-1.583373677838118e-5,2.268063728795404,0.7902696434478373,0.8129826259507165,2,-29643.997815188202,59293.995630376405,59316.47020954846,68133.77771648501,13245,-0.08048164713868758,0.09053347827997862,0.37403474809856696,FALSE
Marrow.hematopoietic precursor cell,6.473428875870872e-5,-1.0761012540605464e-5,2.2680579762482687,0.8574611617475411,0.822766492272867,2,-29643.964216445987,59293.928432891975,59316.40301206403,68133.43209809181,13245,-0.09720831496830508,0.10497749033823928,0.35446701545426584,FALSE
Skin.stem cell of epidermis,7.130886724217368e-5,-4.185937675371676e-6,2.2680505199907524,0.9445533016485809,0.8344363293248476,2,-29643.920666763093,59293.84133352619,59316.31591269824,68132.98412049563,13245,-0.12329257633698869,0.12685970365204566,0.33112734135030497,FALSE
Marrow.granulocytopoietic cell,7.527646370350729e-5,-2.180416596164747e-7,2.268046020310814,0.997111820804741,0.8409856922922154,2,-29643.8943854617,59293.7887709234,59316.263350095454,68132.71377703105,13245,-0.1239029731388825,0.12408228864862231,0.31802861541556926,FALSE
Large_Intestine.large intestine goblet cell,7.655746827792446e-5,1.0630596307681373e-6,2.2680445675123235,1.0140813028382827,0.8430272685771714,2,-29643.88590008371,59293.77180016742,59316.24637933948,68132.62649214253,13245,-0.096102602007885,0.09543304007516878,0.31394546284565716,FALSE
Fat.unknown cell type,8.692886532803303e-5,1.1435239723245338e-5,2.2680328051859626,1.1514729175039717,0.858369710791924,2,-29643.817199519548,59293.634399039096,59316.10897821115,68131.91980751912,13245,-0.1320736438024425,0.12308051248314486,0.28326057841615193,FALSE
Limb_Muscle.T cell,8.905807738293335e-5,1.3564612534100462e-5,2.268030390413369,1.179679294906885,0.8612794695445656,2,-29643.803095442436,59293.60619088487,59316.08077005693,68131.77472760252,13245,-0.22828355865964622,0.21018061358804876,0.2774410609108689,FALSE
Tongue.keratinocyte,9.669268360851749e-5,2.1199795174009495e-5,2.26802173186626,1.280818440167009,0.8711162975105384,2,-29643.75252293116,59293.50504586232,59315.97962503438,68131.25452200252,13245,-0.11557907432901277,0.10212578930346719,0.2577674049789232,FALSE
Skin.leukocyte,1.045954281662173e-4,2.910313639026274e-5,2.2680127691837275,1.3855113642159176,0.8804071302718117,2,-29643.70017383396,59293.40034766792,59315.87492683998,68130.71604603494,13245,-0.2091417706323565,0.17767884988717722,0.23918573945637653,FALSE
