annotation,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,estimate,std.error,p.value.orig,fdr_significant
PSNP4,3.790648697081122e-4,3.0776523096831543e-4,2.2015700922046606,5.316504773497002,0.9894305682378554,2,-30961.10877580896,61928.21755161792,61950.86270002922,67953.69040987834,14020,-0.2719889227095451,0.11796090961671579,0.021138863524289273,FALSE
ACBG,3.8103757736810377e-4,3.0973807933498687e-4,2.2015679198530345,5.34418316930866,0.9895970277820731,2,-30961.0949398972,61928.1898797944,61950.8350282057,67953.55630627877,14020,-0.2502333334421005,0.10824416481031003,0.020805944435853815,FALSE
ENT7,3.9946156678557273e-4,3.281633828744468e-4,2.201547631196816,5.6026892253499,0.9910267822132156,2,-30960.965718878946,61927.93143775789,61950.57658616919,67952.30385344492,14020,-0.307651386361482,0.1299752345476743,0.01794643557356881,FALSE
SYNOR5,4.045118720853535e-4,3.3321404839570246e-4,2.201542069724365,5.673551465561363,0.9913820938747108,2,-30960.930296949344,61927.86059389869,61950.505742309986,67951.96053642267,14020,-0.3016343035127925,0.12663484729008329,0.017235812250578523,FALSE
SCHW,4.071697798273997e-4,3.3587214571750845e-4,2.2015391427905846,5.710845596924472,0.9915632276277732,2,-30960.91165479242,61927.82330958484,61950.46845799614,67951.7798532922,14020,-0.30747854140149333,0.12866623799353794,0.016873544744453683,FALSE
SYNOR1,4.2913975123875007e-4,0.00035784368417379753,2.2015149489306767,6.019122357038252,0.9929181166967611,2,-30960.757558886904,61927.51511777381,61950.16026618511,67950.28634652066,14020,-0.2801963520167341,0.11420783290074782,0.014163766606477729,FALSE
ENT4,4.3324806731434394e-4,3.61952293282064e-4,2.201510424724886,6.076770652887979,0.9931455063455841,2,-30960.728743057683,61927.45748611537,61950.102634526665,67950.0070654163,14020,-0.24259515441702836,0.09841146550539856,0.013708987308831959,FALSE
EPSC,4.773644576525e-4,4.060718302956179e-4,2.2014618417939777,6.69584605520872,0.9951631284599545,2,-30960.419302154598,61926.838604309196,61949.483752720495,67947.00805706655,14020,-0.22970268219982623,0.08876941059885235,0.009673743080091073,FALSE
ACOB,4.828458439902284e-4,4.115536076024773e-4,2.201455805372701,6.772768936076092,0.9953671746009328,2,-30960.38085369568,61926.76170739136,61949.406855802656,67946.63543538854,14020,-0.24400054150449033,0.09375785448080177,0.009265650798134264,FALSE
VSMCA,4.996170147996747e-4,4.283259746438173e-4,2.2014373358816743,7.00813192944535,0.9959384482604104,2,-30960.26321322844,61926.52642645688,61949.17157486818,67945.49534026954,14020,-0.26571856026738105,0.10037389013773775,0.00812310347917916,FALSE
SYCHO1,5.242122849945138e-4,4.529229991375727e-4,2.2014102497093666,7.353310931548785,0.9966489524815777,2,-30960.09068747063,61926.18137494126,61948.82652335256,67943.82336710689,14020,-0.37719233418090586,0.13909816240807402,0.006702095036844546,FALSE
SYCHO2,5.287435774319393e-4,4.5745461477697535e-4,2.201405259470961,7.416906597323537,0.9967653108199824,2,-30960.058901844917,61926.117803689835,61948.76295210113,67943.51533229827,14020,-0.3244390804387029,0.11913016872070492,0.006469378360035136,FALSE
ACTE1,5.318834023183157e-4,4.6059466361658696e-4,2.2014018016264245,7.460973668562228,0.9968435114911207,2,-30960.03687685249,61926.07375370498,61948.71890211628,67943.30188870103,14020,-0.26353170526141667,0.09647951655927901,0.006312977017758467,FALSE
ENT2,5.527189645681782e-4,4.814317119978817e-4,2.201378855580142,7.753405337415831,0.9973158385034439,2,-30959.890719464227,61925.781438928454,61948.42658733975,67941.88549845059,14020,-0.2911618799010592,0.10456546433202228,0.0053683229931122305,FALSE
ACMB,5.707163844790226e-4,4.994304156048512e-4,2.201359034965909,8.006012873116934,0.9976655747556826,2,-30959.76446863591,61925.52893727182,61948.17408568312,67940.66204358103,14020,-0.25941852304739643,0.09168384966820424,0.004668850488634705,FALSE
SYNOR4,5.844884828251165e-4,5.132034962689325e-4,2.201343867590855,8.199320937863302,0.9979015886836052,2,-30959.667856651082,61925.335713302164,61947.98086171346,67939.7258237857,14020,-0.30070356250048874,0.10501458739605041,0.004196822632789616,FALSE
OPC,5.869250831141925e-4,5.156402703525576e-4,2.2013411841232124,8.233522125919057,0.9979407449331164,2,-30959.650763634956,61925.30152726991,61947.94667568121,67939.56018501616,14020,-0.26298086612462773,0.09164975807908925,0.0041185101337672505,FALSE
ENT3,5.901477490681524e-4,5.188631661686705e-4,2.2013376349436067,8.278757131821923,0.997991394093317,2,-30959.628156218663,61925.25631243733,61947.901460848625,67939.34110992796,14020,-0.2888298262585838,0.10038283756577755,0.004017211813365831,FALSE
HYPEN,6.38566505144244e-4,5.672853757936469e-4,2.2012843098134156,8.958422950957697,0.998616627863617,2,-30959.28848363948,61924.57696727896,61947.22211569026,67936.04962908277,14020,-0.3050621232967597,0.10192307254746921,0.0027667442727659195,FALSE
MGL2,6.63845994485518e-4,5.925666682369268e-4,2.2012564681871054,9.313303441872279,0.998860392608839,2,-30959.111133648275,61924.22226729655,61946.86741570785,67934.33114307269,14020,-0.2916443879394879,0.09556563441201443,0.0022792147823219658,FALSE
EPMB,7.202266117971305e-4,6.489513069904973e-4,2.2011943719902574,10.104854882790702,0.9992589972102857,2,-30958.71557539954,61923.43115079908,61946.07629921038,67930.4984192078,14020,-0.3657461442998938,0.11505744242853366,0.0014820055794287146,FALSE
ENTG1,7.257902564664208e-4,6.54515348496143e-4,2.2011882442366963,10.182970096136884,0.9992897196597341,2,-30958.676540464174,61923.35308092835,61945.998229339646,67930.12020565293,14020,-0.27684587511635667,0.08675626025476366,0.0014205606805318548,FALSE
SYNOR2,7.587750073816756e-4,6.875024521039164e-4,2.201151914746547,10.646103600829399,0.9994471652766136,2,-30958.44511259059,61922.89022518118,61945.53537359248,67927.87792012931,14020,-0.3822752887871988,0.11716040951125606,0.0011056694467727897,FALSE
OEC,7.647176846657514e-4,6.93445553259564e-4,2.201145369402638,10.729547013363408,0.9994715290640747,2,-30958.403416718473,61922.806833436945,61945.451981848244,67927.47394014231,14020,-0.3149975146823283,0.09616486665111068,0.0010569418718506124,FALSE
SYNOR3,7.692850009515692e-4,6.980131953167046e-4,2.201140338886423,10.793679128799871,0.9994895139189358,2,-30958.371370684647,61922.74274136929,61945.38788978059,67927.16345645198,14020,-0.3157234659078411,0.09609971728593462,0.0010209721621284487,FALSE
SATG1,7.756657804533432e-4,7.043944299383043e-4,2.2011333109731663,10.88327602674905,0.9995136085902231,2,-30958.32660045566,61922.65320091132,61945.29834932262,67926.72969451323,14020,-0.3923537578456604,0.11893180071202519,9.727828195538611e-4,FALSE
MGL1,8.564700443991711e-4,7.852044573837258e-4,2.201044309661417,12.018003082109704,0.9997357649844429,2,-30957.759619065506,61921.51923813101,61944.16438654231,67921.2366643625,14020,-0.34042006965864113,0.09819717654118497,5.28470031114128e-4,FALSE
MGL3,8.580658667261808e-4,7.868003935355139e-4,2.201042551917434,12.040414920565615,0.9997389204115209,2,-30957.748421155557,61921.49684231111,61944.14199072241,67921.12818122398,14020,-0.32619331936063123,0.09400573200796299,5.221591769581808e-4,FALSE
ENTG4,9.529936206963889e-4,8.817349183868339e-4,2.20093798970172,13.373715627841714,0.9998719454065301,2,-30957.08227946086,61920.16455892172,61942.80970733302,67914.67504386172,14020,-0.2984603428415441,0.08161323472135919,2.561091869397173e-4,FALSE
