tissue_celltype,tissue,cell_type,n_cells
Skin.keratinocyte stem cell,Skin,keratinocyte stem cell,1404
Skin.leukocyte,Skin,leukocyte,15
Skin.stem cell of epidermis,Skin,stem cell of epidermis,53
Spleen.B cell,Spleen,B cell,1297
Spleen.macrophage,Spleen,macrophage,48
Spleen.T cell,Spleen,T cell,352
Thymus.DN1 thymic pro-T cell,Thymus,DN1 thymic pro-T cell,32
Thymus.immature T cell,Thymus,immature T cell,1277
Thymus.leukocyte,Thymus,leukocyte,40
Tongue.basal cell of epidermis,Tongue,basal cell of epidermis,1086
Tongue.keratinocyte,Tongue,keratinocyte,330
Trachea.blood cell,Trachea,blood cell,206
Trachea.endothelial cell,Trachea,endothelial cell,113
Trachea.epithelial cell,Trachea,epithelial cell,201
Trachea.mesenchymal cell,Trachea,mesenchymal cell,830
