gwas,specificity_id,annotation,tau,se,pvalue
BMI_UKBB_Loh2018,mousebrain190306,HBINH4,1.2180705602833432e-08,4.959680889883151e-09,0.007025724702591814
BMI_UKBB_Loh2018,mousebrain190306,TEGLU2,1.0449891825619482e-08,4.348758518087916e-09,0.008131487930678536
BMI_UKBB_Loh2018,mousebrain190306,DEGLU1,9.002035227621559e-09,3.75403499745068e-09,0.008243276013148327
BMI_UKBB_Loh2018,mousebrain190306,TEGLU3,9.928367737627608e-09,4.171052395483905e-09,0.008649208282969176
BMI_UKBB_Loh2018,mousebrain190306,HBINH2,1.5718223597796507e-08,6.671418398667697e-09,0.009235110300524471
BMI_UKBB_Loh2018,mousebrain190306,TEGLU6,1.110036726379999e-08,4.723451215907161e-09,0.009385334014687578
BMI_UKBB_Loh2018,mousebrain190306,TEINH18,1.0374014937745944e-08,4.493654223329183e-09,0.010483111531488924
BMI_UKBB_Loh2018,mousebrain190306,HBSER3,1.4036174995652375e-08,6.090524345805093e-09,0.010594711180329869
BMI_UKBB_Loh2018,mousebrain190306,TEGLU20,1.0908011923030483e-08,4.74790300764529e-09,0.010796903261189596
BMI_UKBB_Loh2018,mousebrain190306,HYPEP1,1.376590356787862e-08,5.9920097888830224e-09,0.010798645394909429
BMI_UKBB_Loh2018,mousebrain190306,MEGLU4,1.2024746709826886e-08,5.2740210732327934e-09,0.011303964212867106
BMI_UKBB_Loh2018,mousebrain190306,TEGLU11,9.707277653576129e-09,4.283308692694011e-09,0.01171640241564911
BMI_UKBB_Loh2018,mousebrain190306,HBINH7,1.3950494633804595e-08,6.1569980777824056e-09,0.01173197294217882
BMI_UKBB_Loh2018,mousebrain190306,TEINH19,9.829345733695514e-09,4.3428408070237e-09,0.011807224333483373
BMI_UKBB_Loh2018,mousebrain190306,OBNBL2,1.2922907058481972e-08,5.7112521401465286e-09,0.01182678745502132
BMI_UKBB_Loh2018,mousebrain190306,DEINH6,1.730209186769211e-08,7.646731189516727e-09,0.011827767197918806
