gwas,specificity_id,annotation,q,h2g,h2g_se,prop_h2g,prop_h2g_se,enr,enr_se,enr_pval
HEIGHT_UKBB_Loh2018,tabula_muris,Liver.hepatocyte,0,0.45181167242573,0.0182474880118801,0.7217918812446908,0.00838548549400083,0.8927132261623771,0.0103711803953494,2.94711568001109e-25
HEIGHT_UKBB_Loh2018,tabula_muris,Liver.hepatocyte,1,0.0574541711702309,0.0022010719581886102,0.0917859294596521,0.0015468807057742,1.4989028952694,0.0252612135887403,4.99840947665091e-65
HEIGHT_UKBB_Loh2018,tabula_muris,Liver.hepatocyte,2,0.0326812010086758,0.00120784675208167,0.0522098630846365,0.0010029543147270599,1.5236643341529297,0.029269674882256003,1.40305467429186e-64
HEIGHT_UKBB_Loh2018,tabula_muris,Liver.hepatocyte,3,0.0225941028283673,0.00110386021266819,0.0360952161726278,0.00140244542520627,1.33443305018733,0.0518481318280197,6.939248591673099e-11
HEIGHT_UKBB_Loh2018,tabula_muris,Liver.hepatocyte,4,0.0288432608702352,0.0016932012869224,0.046078560593586,0.00240875008805705,1.4862839668066299,0.0776952793187207,2.38947920145272e-10
HEIGHT_UKBB_Loh2018,tabula_muris,Liver.hepatocyte,5,0.0325739658012257,0.00257611444003492,0.0520385494448062,0.00395326439049334,1.3726959518282198,0.10428096254090499,0.000296437371949952
BMI_UKBB_Loh2018,mousebrain,MEINH2,0,0.12257427858396601,0.0039383096316879295,0.484212048576528,0.0100579728927579,0.829879894174413,0.0172381284282145,3.0066565105845695e-20
BMI_UKBB_Loh2018,mousebrain,MEINH2,1,0.0190891070839246,0.000642886511550825,0.07540877052988,0.0015375511057371801,0.989965801451571,0.0201849599452193,0.6188347063733161
BMI_UKBB_Loh2018,mousebrain,MEINH2,2,0.0430962770460512,0.0013954048326264,0.170245640729554,0.0024382462484165,1.14771249825642,0.0164374587281204,1.5585883004089403e-17
BMI_UKBB_Loh2018,mousebrain,MEINH2,3,0.0353982474499055,0.00136839194245889,0.139835682589771,0.00333611613373853,1.30187294573776,0.0310593065941177,7.988152483092549e-20
BMI_UKBB_Loh2018,mousebrain,MEINH2,4,0.0206554777327078,0.0010222119016907,0.0815964923703795,0.0030751381364720397,1.4804737935234198,0.0557948177704262,3.60625755405233e-16
BMI_UKBB_Loh2018,mousebrain,MEINH2,5,0.0123283481348095,0.000724427726796224,0.0487013652038873,0.00233983951232007,1.65126173248835,0.0793342739096346,7.65271893474478e-15
T2D_UKBB_Loh2018,mousebrain,TEGLU23,0,0.0169923805778534,0.00132337698276509,0.427622676838432,0.0177838041402902,0.7582036044674699,0.0315318740811449,1.3016759414805501e-15
T2D_UKBB_Loh2018,mousebrain,TEGLU23,1,0.00272152717923311,0.000189828881242848,0.0684887401232643,0.00334051687726028,1.1813878114178402,0.0576218209814953,0.00158708273105313
T2D_UKBB_Loh2018,mousebrain,TEGLU23,2,0.00580702813842563,0.00032271869173338503,0.1461370821853,0.00398180043438436,1.21902931014345,0.0332149196088486,2.04082129990769e-11
T2D_UKBB_Loh2018,mousebrain,TEGLU23,3,0.00570108690276307,0.000323682264517206,0.14347101226213402,0.00465875694142794,1.2665318804652501,0.0411265251190715,3.5626896799066794e-11
T2D_UKBB_Loh2018,mousebrain,TEGLU23,4,0.00456775554873489,0.00029734720549178597,0.114950100484411,0.00602110960863453,1.44730930300356,0.0758103552259417,9.30246428930187e-10
T2D_UKBB_Loh2018,mousebrain,TEGLU23,5,0.00394707729283626,0.000332726932046982,0.0993303881064585,0.00756145905140768,1.5176407612096203,0.11552938319675801,4.6162395583317105e-06
T2D_UKBB_Loh2018,mousebrain,MEINH2,0,0.0181272280608857,0.00137466274923754,0.456129535497673,0.0187029719612538,0.7817499208485881,0.0320545935145174,3.01591139574821e-12
T2D_UKBB_Loh2018,mousebrain,MEINH2,1,0.00341667190823067,0.00022233085926015,0.0859726023865703,0.0033913457690030397,1.1286477106900201,0.0445215630571802,0.00379437708912785
T2D_UKBB_Loh2018,mousebrain,MEINH2,2,0.00713180379372034,0.000399539702757206,0.179455255969856,0.00490859340010089,1.2097992011530903,0.0330913259805824,1.34676541656893e-10
T2D_UKBB_Loh2018,mousebrain,MEINH2,3,0.00568829646566657,0.00035692982047841803,0.143132751237134,0.00627604666756858,1.3325687194683702,0.058430117487715,6.84412779857689e-09
T2D_UKBB_Loh2018,mousebrain,MEINH2,4,0.00348459058947571,0.000265066375471664,0.0876816180410243,0.005888792816052179,1.59088134688728,0.10684532124347801,1.29738627043357e-08
T2D_UKBB_Loh2018,mousebrain,MEINH2,5,0.0018928129942242101,0.000192136551093332,0.0476282368677422,0.00449240837332665,1.61487639199314,0.152318975095023,4.40876882694192e-05
RA_Okada2014,tabula_muris,Liver.hepatocyte,0,0.10574141159896198,0.009600341532852129,0.721925112549633,0.0214707304703461,0.8928780068299781,0.0265550300083629,9.30199967879663e-05
RA_Okada2014,tabula_muris,Liver.hepatocyte,1,0.012962358023798,0.0010399774924148301,0.0884975113698112,0.00338933721849264,1.4452016425312502,0.0553493046238224,1.2523238259868099e-15
RA_Okada2014,tabula_muris,Liver.hepatocyte,2,0.00774286704234765,0.000677065757989843,0.0528626398728589,0.0026134661313678698,1.54271461798082,0.0762699784603273,8.46245487262285e-12
RA_Okada2014,tabula_muris,Liver.hepatocyte,3,0.00526377277997566,0.000687514831760405,0.0359371952686976,0.00355413303870505,1.3285910484157801,0.131395600151782,0.0143048402347579
