specificity_id,annotation_prefix,annotation,annotation_fmt,annotation_marker,taxonomy_lvl2,Notes
moffitt2018,POA,Mature_oligodendrocyte_2,POA-OLIGO4,mature,Oligodendrocyte,
moffitt2018,POA,Mature_oligodendrocyte_3,POA-OLIGO5,mature,Oligodendrocyte,
moffitt2018,POA,Mature_oligodendrocyte_4,POA-OLIGO6,mature,Oligodendrocyte,
moffitt2018,POA,Mature_oligodendrocyte_5,POA-OLIGO7,mature,Oligodendrocyte,
moffitt2018,POA,Mature_oligodendrocyte_6,POA-OLIGO8,mature,Oligodendrocyte,
moffitt2018,POA,Microglia_1,POA-MICRO1,,Microglia,
moffitt2018,POA,Microglia_2,POA-MICRO2,,Microglia,
moffitt2018,POA,Mural_1,POA-MURAL1,,Mural,
moffitt2018,POA,Mural_2,POA-MURAL2,,Mural,
moffitt2018,POA,Newly_formed_oligodendrocyte_1,POA-OLIGO9,newly-formed,Oligodendrocyte,
romanov2017,HYPR,Adcyap1_1_Tac1,HYPR-NEURO1,Adcyap1/Tac1,Neuron,
romanov2017,HYPR,Adcyap1_2,HYPR-NEURO2,Adcyap1,Neuron,
romanov2017,HYPR,astrocytes,HYPR-ASTRO1,,Astrocyte,
romanov2017,HYPR,Avp_1_high,HYPR-NEURO3,Avp,Neuron,
romanov2017,HYPR,Avp_2_high,HYPR-NEURO4,Avp,Neuron,
romanov2017,HYPR,Avp_3_medium,HYPR-NEURO5,Avp,Neuron,
romanov2017,HYPR,circadian_1_Vip_Grppos_neg,HYPR-NEURO6,circadian/Vip/Grppos,Neuron,
romanov2017,HYPR,circadian_2_Nms_VIPpos_neg,HYPR-NEURO7,circadian/Nms/VIPpos,Neuron,
romanov2017,HYPR,circadian_3_Per2,HYPR-NEURO8,circadian/Per2,Neuron,
romanov2017,HYPR,Dopamine_1,HYPR-NEURO9,Dopamine,Neuron,
romanov2017,HYPR,Dopamine_2_low_VMAT2,HYPR-NEURO10,Dopamine/VMAT2,Neuron,
romanov2017,HYPR,Dopamine_3,HYPR-NEURO11,Dopamine,Neuron,
romanov2017,HYPR,Dopamine_4,HYPR-NEURO12,Dopamine,Neuron,
romanov2017,HYPR,endothelial,HYPR-EPI1,,Epithelial,
romanov2017,HYPR,ependymal,HYPR-EPENDY1,,Ependymal,
romanov2017,HYPR,GABA_10,HYPR-NEURO13,GABA,Neuron,
romanov2017,HYPR,GABA_11_Nts_1,HYPR-NEURO14,GABA/Nts,Neuron,
romanov2017,HYPR,GABA_12_Nts_2,HYPR-NEURO15,GABA/Nts,Neuron,
romanov2017,HYPR,GABA_13_Galanin,HYPR-NEURO16,GABA/Galanin,Neuron,
romanov2017,HYPR,GABA_14_Npy_Agrp,HYPR-NEURO17,GABA/Npy/Agrp,Neuron,
romanov2017,HYPR,GABA_15_Npynegmedium,HYPR-NEURO18,GABA/Npynegmedium,Neuron,
romanov2017,HYPR,GABA_2_Gucy1a3,HYPR-NEURO19,GABA/Gucy1a3,Neuron,
romanov2017,HYPR,GABA_3_Crhpos_neg_Lhx6,HYPR-NEURO20,GABA/Crhpos/Lhx6,Neuron,
romanov2017,HYPR,GABA_4_Crhpos_neg_Pgr15l,HYPR-NEURO21,GABA/Crhpos/Pgr15l,Neuron,
romanov2017,HYPR,GABA_5_Calcr_Lhx1,HYPR-NEURO22,GABA/Calcr/Lhx1,Neuron,
romanov2017,HYPR,GABA_6_Otof_Lhx1,HYPR-NEURO23,GABA/Otof/Lhx1,Neuron,
romanov2017,HYPR,GABA_7_Pomcpos_neg,HYPR-NEURO24,GABA/Pomcpos,Neuron,
romanov2017,HYPR,GABA_8,HYPR-NEURO25,GABA,Neuron,
romanov2017,HYPR,GABA_9,HYPR-NEURO26,GABA,Neuron,
romanov2017,HYPR,GABA1,HYPR-NEURO27,GABA1,Neuron,
romanov2017,HYPR,Gadneglow_Gnrhneg_pos,HYPR-NEURO28,Gadneglow/Gnrhneg,Neuron,
romanov2017,HYPR,Hcrt,HYPR-NEURO29,Hcrt,Neuron,
romanov2017,HYPR,Hmitpos_neg,HYPR-NEURO30,Hmitpos,Neuron,
romanov2017,HYPR,microglia,HYPR-MICRO1,,Microglia,
romanov2017,HYPR,Npvf,HYPR-NEURO31,Npvf,Neuron,
romanov2017,HYPR,oligos,HYPR-OLIGO1,,Oligodendrocyte,
romanov2017,HYPR,Oxytocin_1,HYPR-NEURO32,Oxytocin,Neuron,
romanov2017,HYPR,Oxytocin_2,HYPR-NEURO33,Oxytocin,Neuron,
romanov2017,HYPR,Oxytocin_3,HYPR-NEURO34,Oxytocin,Neuron,
romanov2017,HYPR,Oxytocin_4,HYPR-NEURO35,Oxytocin,Neuron,
romanov2017,HYPR,Pmch,HYPR-NEURO36,Pmch,Neuron,
romanov2017,HYPR,Sst_1_low,HYPR-NEURO37,Sst,Neuron,
romanov2017,HYPR,Sst_2_high,HYPR-NEURO38,Sst,Neuron,
romanov2017,HYPR,Sst_3_medium,HYPR-NEURO39,Sst,Neuron,
romanov2017,HYPR,Trh_1_low,HYPR-NEURO40,Trh,Neuron,
romanov2017,HYPR,Trh_2_medium,HYPR-NEURO41,Trh,Neuron,
romanov2017,HYPR,Trh_3_high,HYPR-NEURO42,Trh,Neuron,
romanov2017,HYPR,Vglut2_11,HYPR-NEURO43,Vglut2,Neuron,
romanov2017,HYPR,Vglut2_12_Mgat4b,HYPR-NEURO44,Vglut2/Mgat4b,Neuron,
romanov2017,HYPR,Vglut2_13Ninl_Rfx5_Zfp346,HYPR-NEURO45,Vglut2/Ninl/Rfx5/Zfp346,Neuron,
romanov2017,HYPR,Vglut2_14_Col9a2,HYPR-NEURO46,Vglut2/Col9a2,Neuron,
romanov2017,HYPR,Vglut2_15_Hcn1_6430411K18Rik,HYPR-NEURO47,Vglut2/Hcn1/K18Rik,Neuron,
romanov2017,HYPR,Vglut2_2_Crhpos_neg,HYPR-NEURO48,Vglut2/Crhpos,Neuron,
romanov2017,HYPR,Vglut2_3_Crhnegpos_neg_low,HYPR-NEURO49,Vglut2/Crhnegpos,Neuron,
romanov2017,HYPR,Vglut2_4,HYPR-NEURO50,Vglut2,Neuron,
romanov2017,HYPR,Vglut2_6_Prmt8_Ugdh,HYPR-NEURO51,Vglut2/Prmt8/Ugdh,Neuron,
romanov2017,HYPR,Vglut2_7_Pgam_Snx12,HYPR-NEURO52,Vglut2/Pgam/Snx12,Neuron,
romanov2017,HYPR,Vglut2_8,HYPR-NEURO53,Vglut2,Neuron,
romanov2017,HYPR,Vglut2_9_Gpr149,HYPR-NEURO54,Vglut2/Gpr149,Neuron,
romanov2017,HYPR,vsm,HYPR-MURAL1,,Mural,Vascular smooth muscle
