specificity_id,annotation_prefix,annotation,annotation_fmt,annotation_marker,taxonomy_lvl2,Notes
campbell2017_lvl2,ARCME,s34.a1_tanycytes1,ARCME-TANY4,Alpha1,Tanycyte,
campbell2017_lvl2,ARCME,s35.b1_tanycytes,ARCME-TANY5,Beta1,Tanycyte,
campbell2017_lvl2,ARCME,s36.a2_tanycytes,ARCME-TANY6,Beta2,Tanycyte,
chen2017,HYPC,Astro,HYPC-ASTRO1,Gja1/Ppap2b,Astrocyte,
chen2017,HYPC,Ependy,HYPC-EPENDY1,Rarres2/Dbi,Ependymal,
chen2017,HYPC,Epith1,HYPC-EPITH1,Itm2a/Slco1a4,Epithelial,
chen2017,HYPC,Epith2,HYPC-EPITH2,Timp3/Slc9a3r2,Epithelial,
chen2017,HYPC,GABA1,HYPC-NEURO1,Pvalb/Cplx3,Neuron,
chen2017,HYPC,GABA10,HYPC-NEURO2,Prok2/Gal,Neuron,
chen2017,HYPC,GABA11,HYPC-NEURO3,Ghrh/Gal,Neuron,
chen2017,HYPC,GABA12,HYPC-NEURO4,Crabp1/Tbx3,Neuron,
chen2017,HYPC,GABA13,HYPC-NEURO5,Gal/Hmx3,Neuron,
chen2017,HYPC,GABA14,HYPC-NEURO6,Sst/Sstr1,Neuron,
chen2017,HYPC,GABA15,HYPC-NEURO7,Npy/Agrp,Neuron,
chen2017,HYPC,GABA16,HYPC-NEURO8,Asb4/Cox6a2,Neuron,
chen2017,HYPC,GABA17,HYPC-NEURO9,Prlr/Slc18a2,Neuron,
chen2017,HYPC,GABA18,HYPC-NEURO10,1500016L03Rik/Coch,Neuron,
chen2017,HYPC,GABA2,HYPC-NEURO11,St18/Npas1,Neuron,
chen2017,HYPC,GABA3,HYPC-NEURO12,Meis2/Arpp21,Neuron,
chen2017,HYPC,GABA4,HYPC-NEURO13,Arx/Gm13498,Neuron,
chen2017,HYPC,GABA5,HYPC-NEURO14,Lhx6/Lhx8,Neuron,
chen2017,HYPC,GABA6,HYPC-NEURO15,Pax6/Myh7,Neuron,
chen2017,HYPC,GABA7,HYPC-NEURO16,Th/Unc13c,Neuron,
chen2017,HYPC,GABA8,HYPC-NEURO17,Dlk1/Vgf,Neuron,
chen2017,HYPC,GABA9,HYPC-NEURO18,1500016L03Rik/Lhx1,Neuron,
chen2017,HYPC,Glu1,HYPC-NEURO19,Rasd1/Rgs2,Neuron,
chen2017,HYPC,Glu10,HYPC-NEURO20,Trh/Bdnf,Neuron,
chen2017,HYPC,Glu11,HYPC-NEURO21,Tac2/Kiss1,Neuron,
chen2017,HYPC,Glu12,HYPC-NEURO22,Lhx9/Vgll2,Neuron,
chen2017,HYPC,Glu13,HYPC-NEURO23,Pomc/Cartpt,Neuron,
chen2017,HYPC,Glu14,HYPC-NEURO24,Avp/Pcsk1,Neuron,
chen2017,HYPC,Glu15,HYPC-NEURO25,Sst/Nhlh2,Neuron,
chen2017,HYPC,Glu2,HYPC-NEURO26,Sln/Calb2,Neuron,
chen2017,HYPC,Glu3,HYPC-NEURO27,Nrn1/Fezf2,Neuron,
chen2017,HYPC,Glu4,HYPC-NEURO28,Tcf7l2/Shox2,Neuron,
chen2017,HYPC,Glu5,HYPC-NEURO29,Foxb1/Cpne9,Neuron,
chen2017,HYPC,Glu6,HYPC-NEURO30,Tac1/Aldh3b2,Neuron,
chen2017,HYPC,Glu7,HYPC-NEURO31,Nrgn/Fezf1,Neuron,
chen2017,HYPC,Glu8,HYPC-NEURO32,Ptprr/Lhx9,Neuron,
chen2017,HYPC,Glu9,HYPC-NEURO33,Samd3/Gng8,Neuron,
chen2017,HYPC,Hista,HYPC-NEURO34,Prph/Wif1,Neuron,
chen2017,HYPC,IMO,HYPC-OLIGO1,Fyn/Bcas1,Oligodendrocyte,immature_oligodendrocyte
chen2017,HYPC,Macro,HYPC-MACRO1,Pf4/Lyz2,Macrophage,
chen2017,HYPC,Micro,HYPC-MICRO1,Hexb/Ctss,Microglia,
chen2017,HYPC,MO,HYPC-MO1,Mog/Plp1,Oligodendrocyte,myelinating_oligodendrocyte
chen2017,HYPC,OPC,HYPC-OPC1,Serpine2/Olig1,Oligodendrocyte,
chen2017,HYPC,POPC,HYPC-OPC2,Top2a/Cdca3,Oligodendrocyte,proliferating_oligodendrocyte_progenitor
chen2017,HYPC,Tany,HYPC-TANY1,Prdx6/Cst3,Tanycyte,
kimVMH2019_smartseq,VMH,Astro_Aqp4,VMH-ASTRO1,Aqp4,Astrocyte,
kimVMH2019_smartseq,VMH,Clic4,VMH-NEURO1,Clic4,Neuron,
kimVMH2019_smartseq,VMH,Dlk1_1_Il1rapl2,VMH-NEURO2,Dlk1/Il1rapl2,Neuron,
kimVMH2019_smartseq,VMH,Dlk1_2_Nts,VMH-NEURO3,Dlk1/Nts,Neuron,
kimVMH2019_smartseq,VMH,Dlk1_3_Maob,VMH-NEURO4,Dlk1/Maob,Neuron,
kimVMH2019_smartseq,VMH,Dlk1_4_Maob,VMH-NEURO5,Dlk1/Maob,Neuron,
kimVMH2019_smartseq,VMH,Dlk1_5_Egflam,VMH-NEURO6,Dlk1/Egflam,Neuron,
kimVMH2019_smartseq,VMH,Dlk1_6_F2rl2,VMH-NEURO7,Dlk1/F2rl2,Neuron,
kimVMH2019_smartseq,VMH,Endo_Gja5,VMH-EPI1,Gja5,Epithelial,
kimVMH2019_smartseq,VMH,Esr1_1_Insm2,VMH-NEURO8,Esr1/Insm2,Neuron,
kimVMH2019_smartseq,VMH,Esr1_2_Samd9l_Rorb,VMH-NEURO9,Esr1/Samd9l/Rorb,Neuron,
kimVMH2019_smartseq,VMH,Esr1_3_Samd9l_Nmur2,VMH-NEURO10,Esr1/Samd9l/Nmur2,Neuron,
kimVMH2019_smartseq,VMH,Esr1_4_Smoc2,VMH-NEURO11,Esr1/Smoc2,Neuron,
kimVMH2019_smartseq,VMH,Esr1_5_Ngf,VMH-NEURO12,Esr1/Ngf,Neuron,
kimVMH2019_smartseq,VMH,Esr1_6_Ctxn3,VMH-NEURO13,Esr1/Ctxn3,Neuron,
kimVMH2019_smartseq,VMH,Irx5,VMH-NEURO14,Irx5,Neuron,
kimVMH2019_smartseq,VMH,Lhx1_1,VMH-NEURO15,Lhx1,Neuron,
kimVMH2019_smartseq,VMH,Lhx1_2,VMH-NEURO16,Lhx1,Neuron,
kimVMH2019_smartseq,VMH,Lhx9,VMH-NEURO17,Lhx9,Neuron,
kimVMH2019_smartseq,VMH,Micro_Siglech,VMH-MICRO1,Siglech,Microglia,
kimVMH2019_smartseq,VMH,Nfib_1_Prdm13,VMH-NEURO18,Nfib/Prdm13,Neuron,
kimVMH2019_smartseq,VMH,Nfib_2_Car4,VMH-NEURO19,Nfib/Car4,Neuron,
kimVMH2019_smartseq,VMH,Nr5a1_1_Npffr2,VMH-NEURO20,Nr5a1/Npffr2,Neuron,
kimVMH2019_smartseq,VMH,Nr5a1_2_Ctxn3,VMH-NEURO21,Nr5a1/Ctxn3,Neuron,
kimVMH2019_smartseq,VMH,Nr5a1_3_Car8,VMH-NEURO22,Nr5a1/Car8,Neuron,
kimVMH2019_smartseq,VMH,Nr5a1_4_7_Glipr1,VMH-NEURO23,Nr5a1/Glipr1,Neuron,
kimVMH2019_smartseq,VMH,Nr5a1_8_Tcf7l2,VMH-NEURO24,Nr5a1/Tcf7l2,Neuron,
kimVMH2019_smartseq,VMH,Nr5a1_9_11_Rorb,VMH-NEURO25,Nr5a1/Rorb,Neuron,
kimVMH2019_smartseq,VMH,Nr5a1_Foxp2_1_Prdm13,VMH-NEURO26,Nr5a1/Foxp2/Prdm13,Neuron,
kimVMH2019_smartseq,VMH,Nr5a1_Foxp2_2_C1ql2,VMH-NEURO27,Nr5a1/Foxp2/C1ql2,Neuron,
kimVMH2019_smartseq,VMH,Nr5a1_Foxp2_3,VMH-NEURO28,Nr5a1/Foxp2,Neuron,
kimVMH2019_smartseq,VMH,Nr5a1_Smoc2_low,VMH-NEURO29,Nr5a1/Smoc2/low,Neuron,
kimVMH2019_smartseq,VMH,Nup62cl,VMH-NEURO30,Nup62cl,Neuron,
kimVMH2019_smartseq,VMH,Oligo_Opalin_1,VMH-OLIGO1,Opalin,Oligodendrocyte,
kimVMH2019_smartseq,VMH,Oligo_Opalin_2,VMH-OLIGO2,Opalin,Oligodendrocyte,
kimVMH2019_smartseq,VMH,PVM_Mrc1,VMH-PVM1,Mrc1,Macrophage,
kimVMH2019_smartseq,VMH,Satb2_Calcrl,VMH-NEURO31,Satb2/Calcrl,Neuron,
kimVMH2019_smartseq,VMH,Satb2_Six3,VMH-NEURO32,Satb2/Six3,Neuron,
kimVMH2019_smartseq,VMH,Scgn,VMH-OTHER1,,Other,Unknown cell-type annotation
kimVMH2019_smartseq,VMH,Slc18a3,VMH-NEURO33,Slc18a3,Neuron,
kimVMH2019_smartseq,VMH,Slc32a1_1_Nup62cl,VMH-NEURO34,Slc32a1/Nup62cl,Neuron,
kimVMH2019_smartseq,VMH,Slc32a1_2,VMH-NEURO35,Slc32a1,Neuron,
kimVMH2019_smartseq,VMH,SMC,VMH-OTHER2,,Other,Unknown cell-type annotation
kimVMH2019_smartseq,VMH,Tbx3_1_Tac2,VMH-NEURO36,Tbx3/Tac2,Neuron,
kimVMH2019_smartseq,VMH,Tbx3_2_Anxa2,VMH-NEURO37,Tbx3/Anxa2,Neuron,
kimVMH2019_smartseq,VMH,Tbx3_3_Slc14a1,VMH-NEURO38,Tbx3/Slc14a1,Neuron,
kimVMH2019_smartseq,VMH,Tsix_Esr1_1_Gabrg3,VMH-NEURO39,Tsix/Esr1/Gabrg3,Neuron,
kimVMH2019_smartseq,VMH,Tsix_Esr1_2_Twist2,VMH-NEURO40,Tsix/Esr1/Twist2,Neuron,
mikkelsen2019,LHA,GABA_1,LHA-NEURO1,Slc32a1/Gal/Dlk1,Neuron,
mikkelsen2019,LHA,GABA_10,LHA-NEURO10,Slc32a1/Sst/Meis2,Neuron,
mikkelsen2019,LHA,GABA_11,LHA-NEURO11,Slc32a1/Col25a/Otp,Neuron,
mikkelsen2019,LHA,GABA_12,LHA-NEURO12,Slc32a1/Th/Slc18a,Neuron,
mikkelsen2019,LHA,GABA_13,LHA-NEURO13,Slc32a1/Sst/Otp,Neuron,
mikkelsen2019,LHA,GABA_14,LHA-NEURO14,Slc32a1/Atp1a,Neuron,
mikkelsen2019,LHA,GABA_15,LHA-NEURO15,Slc32a1/Calb1/Cbln4,Neuron,
mikkelsen2019,LHA,GABA_2,LHA-NEURO2,Slc32a1/Npy/Npw,Neuron,
mikkelsen2019,LHA,GABA_3,LHA-NEURO3,Slc32a1/Nts/Cartpt,Neuron,
mikkelsen2019,LHA,GABA_4,LHA-NEURO4,Slc32a1/Unassigned,Neuron,
mikkelsen2019,LHA,GABA_5,LHA-NEURO5,Slc32a1/Meis2/Calb2,Neuron,
mikkelsen2019,LHA,GABA_6,LHA-NEURO6,Slc32a1/Sst/Col25a,Neuron,
mikkelsen2019,LHA,GABA_7,LHA-NEURO7,Slc32a1/Tac2/Serpini1,Neuron,
mikkelsen2019,LHA,GABA_8,LHA-NEURO8,Slc32a1/Lhx/Tcf4,Neuron,
mikkelsen2019,LHA,GABA_9,LHA-NEURO9,Slc32a1/Cbln2/Calb1,Neuron,
mikkelsen2019,LHA,Glut_1,LHA-NEURO1,Slc17a6/Pmch/Gad1,Neuron,
mikkelsen2019,LHA,Glut_10,LHA-NEURO10,Slc17a6/Grp/Cck,Neuron,
mikkelsen2019,LHA,Glut_11,LHA-NEURO11,Slc17a6/Calca/Col27a,Neuron,
mikkelsen2019,LHA,Glut_12,LHA-NEURO12,Slc17a6/Trh/Syt2,Neuron,
mikkelsen2019,LHA,Glut_13,LHA-NEURO13,Slc17a6/Syt2/Meis2_Gad1,Neuron,
mikkelsen2019,LHA,Glut_14,LHA-NEURO14,Slc17a6/Otp/Gpr101,Neuron,
mikkelsen2019,LHA,Glut_15,LHA-NEURO15,Slc17a6/Sst,Neuron,
mikkelsen2019,LHA,Glut_2,LHA-NEURO2,Slc17a6/Nrgn/Gda,Neuron,
mikkelsen2019,LHA,Glut_3,LHA-NEURO3,Slc17a6/Zic1/Gad1,Neuron,
mikkelsen2019,LHA,Glut_4,LHA-NEURO4,Slc17a6/Tac1/Pitx2,Neuron,
mikkelsen2019,LHA,Glut_5,LHA-NEURO5,Slc17a6/Ebf3/Otp,Neuron,
mikkelsen2019,LHA,Glut_6,LHA-NEURO6,Slc17a6/Hcrt,Neuron,
mikkelsen2019,LHA,Glut_7,LHA-NEURO7,Slc17a6/Gpr101/Tcf4,Neuron,
