Annotation,Coefficient p-value,Coefficient,Coefficient std error,Annotation size,h2g prop.,h2g enrichment,h2g enrichment P-value
TEINH18,0.0112651303009,1.06464914892e-8,4.66683766004e-9,NA,NA,NA,NA
HBCHO3,0.0115201182291,1.56997475844e-8,6.90776878346e-9,NA,NA,NA,NA
HYPEP1,0.012287543145,1.37764225523e-8,6.12825466406e-9,NA,NA,NA,NA
OBNBL2,0.0125831375293,1.28381762276e-8,5.73429611364e-9,NA,NA,NA,NA
MSN1,0.013177535632,7.72327000025e-9,3.47747906225e-9,NA,NA,NA,NA
TEINH9,0.013877654790000001,1.39407163399e-8,6.33459405496e-9,NA,NA,NA,NA
TEGLU8,0.0142395042112,8.47215157919e-9,3.86746029398e-9,NA,NA,NA,NA
MEINH12,0.0144109821895,3.08949165022e-8,1.41336435762e-8,NA,NA,NA,NA
TEGLU11,0.0144360435648,9.12436878703e-9,4.17547557756e-9,NA,NA,NA,NA
TEGLU7,0.0154184705838,8.11709060039e-9,3.75935599801e-9,NA,NA,NA,NA
SCINH4,0.0158882988499,1.23939618439e-8,5.77212479173e-9,NA,NA,NA,NA
MBCHO1,0.0170093504973,1.40745493189e-8,6.63940827059e-9,NA,NA,NA,NA
TEINH4,0.0170978221116,1.12993190085e-8,5.33551227646e-9,NA,NA,NA,NA
HBINH7,0.0172885023782,1.30210724568e-8,6.16155290393e-9,NA,NA,NA,NA
TEGLU2,0.0173370379333,9.35982450417e-9,4.43143235317e-9,NA,NA,NA,NA
DEGLU1,0.0176684295947,7.98189462585e-9,3.79281628657e-9,NA,NA,NA,NA
TEGLU10,0.0177594770998,8.63773559856e-9,4.10852768172e-9,NA,NA,NA,NA
HBSER3,0.0182854533486,1.38146195627e-8,6.60821437584e-9,NA,NA,NA,NA
HBINH2,0.0183650669959,1.50264421132e-8,7.19398404418e-9,NA,NA,NA,NA
MEINH9,0.0184939863424,1.04079369935e-8,4.98967015943e-9,NA,NA,NA,NA
OBINH5,0.0197191501759,1.82565041988e-8,8.86416952157e-9,NA,NA,NA,NA
TEINH13,0.022049812855,1.09773446566e-8,5.45283997637e-9,NA,NA,NA,NA
TEGLU5,0.0220976616583,8.56220003453e-9,4.2550726929e-9,NA,NA,NA,NA
TEGLU20,0.0224893030348,9.78873606038e-9,4.88251698463e-9,NA,NA,NA,NA
TEGLU15,0.0232428575819,8.90987731392e-9,4.47517520383e-9,NA,NA,NA,NA
DEINH7,0.0235763734366,2.05053301665e-8,1.03305282092e-8,NA,NA,NA,NA
TEINH19,0.0239218826555,8.99692459741e-9,4.54676368798e-9,NA,NA,NA,NA
DECHO1,0.024514722895,9.37155133084e-9,4.76115542488e-9,NA,NA,NA,NA
MEGLU4,0.0257933214207,1.00724163352e-8,5.17445083798e-9,NA,NA,NA,NA
TEGLU13,0.0259305099031,9.61816810388e-9,4.9468905643e-9,NA,NA,NA,NA
HYPEP3,0.0270854430893,1.071159908e-8,5.56311573694e-9,NA,NA,NA,NA
OBNBL1,0.027585145188,1.02833085367e-8,5.36278130665e-9,NA,NA,NA,NA
TEINH3,0.0277409483066,2.0984685598e-8,1.0957584415e-8,NA,NA,NA,NA
TEGLU18,0.028586493387,8.97276352507e-9,4.71757604577e-9,NA,NA,NA,NA
HBINH6,0.0306885877034,1.36460110127e-8,7.29433439092e-9,NA,NA,NA,NA
HYPEP5,0.0314403527027,1.11346096465e-8,5.9862396107e-9,NA,NA,NA,NA
MEINH6,0.0316086532824,1.1775549383e-8,6.33891515735e-9,NA,NA,NA,NA
DGGRC1,0.0318239298255,8.14309680962e-9,4.39066513593e-9,NA,NA,NA,NA
ENT9,0.0323347653539,8.6128231857e-9,4.66178971152e-9,NA,NA,NA,NA
TEGLU12,0.0329519411408,7.22256436956e-9,3.92727706722e-9,NA,NA,NA,NA
HBGLU7,0.0342570024152,8.18905368702e-9,4.49550036846e-9,NA,NA,NA,NA
SCINH7,0.0368898942983,9.69738631169e-9,5.42366521675e-9,NA,NA,NA,NA
SCGLU3,0.0401745193123,1.78074798618e-8,1.01834745182e-8,NA,NA,NA,NA
MEGLU5,0.0405324094833,1.03212258473e-8,5.91629920914e-9,NA,NA,NA,NA
TEINH5,0.0433549900266,9.66069165948e-9,5.63958738854e-9,NA,NA,NA,NA
MEGLU14,0.0437781678836,1.01407536964e-8,5.93571040563e-9,NA,NA,NA,NA
CBINH1,0.0439184073699,8.86919080928e-9,5.19601843455e-9,NA,NA,NA,NA
MEINH10,0.0448735857209,9.13727670112e-9,5.38521811659e-9,NA,NA,NA,NA
TEINH2,0.0480532394637,8.84684501887e-9,5.31651845514e-9,NA,NA,NA,NA
PSNP5,0.0484379798099,8.50306254676e-9,5.12173637635e-9,NA,NA,NA,NA
DEINH4,0.0485475517179,8.55372086995e-9,5.155630797e-9,NA,NA,NA,NA
SCINH3,0.048816056159,2.69396501498e-8,1.62635526787e-8,NA,NA,NA,NA
HBGLU6,0.0499965283404,7.7824711775e-9,4.73130969495e-9,NA,NA,NA,NA
MBDOP1,0.0501118024238,2.2194910231e-8,1.3502438103e-8,NA,NA,NA,NA
SEPNBL,0.050534929819,1.13527533176e-8,6.92372378555e-9,NA,NA,NA,NA
HBGLU1,0.0522279745301,1.13533537497e-8,6.99259770695e-9,NA,NA,NA,NA
ENT8,0.0542214660897,1.35769340822e-8,8.45793056243e-9,NA,NA,NA,NA
DEINH2,0.0561957993099,1.29407991523e-8,8.15150642374e-9,NA,NA,NA,NA
MEINH11,0.0564836951268,1.19825044754e-8,7.55996190026e-9,NA,NA,NA,NA
TEINH16,0.0605552643142,6.77047314993e-9,4.367683359e-9,NA,NA,NA,NA
SCGLU4,0.0616691880005,1.59888115695e-8,1.03762050426e-8,NA,NA,NA,NA
PSPEP1,0.0653069316285,8.29290024166e-9,5.48586308779e-9,NA,NA,NA,NA
MSN5,0.0653643436241,7.98204329055e-9,5.2818028621e-9,NA,NA,NA,NA
SCGLU6,0.0656021082061,7.94731000246e-9,5.26531546501e-9,NA,NA,NA,NA
HBSER4,0.0710082376932,1.02685245085e-8,6.9933684303e-9,NA,NA,NA,NA
HBSER2,0.0715025195343,7.0770946431e-9,4.83179801016e-9,NA,NA,NA,NA
HYPEP4,0.0747646688736,1.02953998624e-8,7.14365038391e-9,NA,NA,NA,NA
TEINH10,0.0754359139674,7.52671447768e-9,5.23977047313e-9,NA,NA,NA,NA
TEGLU22,0.0754782704287,5.36246417594e-9,3.73388796242e-9,NA,NA,NA,NA
