statistic,DET,GES,NSI,EP,ESmu
Min.,567,320,127,412,1329
1st Qu.,2276,1497,440,803,2955
Median,3393,2702,672,1078,4020
Mean,3452.347169811321,3054.701886792453,962.5849056603773,1348.222641509434,4118.966037735849
3rd Qu.,4455,4436,1295,1780,5174
Max.,7160,7625,2796,3761,8147
