annotation,DET,GES,NSI,EP,ESmu,N_cells_es
ABC,2701,2477,1265,2351,3275,137
ACBG,1502,1056,2126,2170,2689,921
ACMB,2939,2126,2169,2588,3717,861
ACNT1,1721,1343,2414,3364,4080,6642
ACNT2,2131,1603,2543,2875,3620,2568
ACOB,2422,1796,2330,2574,3421,1438
ACTE1,2098,1610,2225,2476,3271,2974
ACTE2,2002,1468,2484,2877,3587,3973
CBGRC,616,419,2257,1843,2546,4193
CBINH1,1537,920,1565,1524,2221,662
CBINH2,1297,920,436,814,1530,17
CBNBL1,1462,732,859,878,1774,163
CBNBL2,567,320,1649,1293,1681,293
CBPC,927,741,1069,1397,1547,84
CHOR,3818,3582,1869,2943,4424,458
COP1,3292,2220,2026,2376,4135,1532
COP2,2448,1678,1627,2079,2949,254
CR,1712,803,894,1078,2140,222
DECHO1,4790,5846,454,992,6246,114
DECHO2,3173,1902,679,701,3424,207
DEGLU1,6713,6877,1294,2119,7398,1058
DEGLU2,5825,6609,684,1046,6856,257
DEGLU3,6304,5811,1153,1720,6837,1113
DEGLU4,3834,3339,377,802,4238,101
DEGLU5,4949,3810,649,876,5317,426
DEINH1,4580,3647,611,775,4902,339
DEINH2,3892,2855,498,743,4181,167
DEINH3,5359,4751,614,1149,5795,323
DEINH4,2948,2083,380,704,3228,57
DEINH5,3794,2294,690,770,4161,308
DEINH6,1394,697,406,661,1549,12
DEINH7,981,477,1012,934,1480,182
DEINH8,1334,589,673,695,1591,120
DETPH,1202,780,535,714,1338,7
DGGRC1,3354,2139,1552,1513,3944,983
DGGRC2,3539,2258,1752,1947,4380,3385
DGNBL1,2004,965,1106,1306,2398,159
DGNBL2,2426,1674,1796,1937,3270,1445
ENMFB,2649,2199,857,1780,3057,49
ENT1,1923,2890,220,807,3198,14
ENT2,4769,6396,508,1460,6709,107
ENT3,4325,5110,781,1764,5550,155
ENT4,4455,4613,922,1875,5284,155
ENT5,3469,3446,1124,1582,4145,259
ENT6,3744,4193,638,1290,4716,118
ENT7,2868,3405,274,976,3891,31
ENT8,3604,5573,466,1315,5920,97
ENT9,4498,6260,849,2137,6487,169
ENTG1,4367,4436,1380,2744,4994,163
ENTG2,3393,2919,2796,3130,4411,2160
ENTG3,3896,3292,2508,2765,4555,1135
ENTG4,4000,3504,2711,3309,5076,4044
ENTG5,3604,3029,2498,2776,4346,1132
ENTG6,3557,2934,2328,2559,4186,811
ENTG7,4072,3319,2396,2925,4815,1041
EPEN,5629,5225,2179,3761,6104,774
EPMB,1714,1191,934,1824,2166,69
EPSC,3282,2877,1809,2655,3869,414
HBADR,3404,2899,304,893,3888,40
HBCHO1,2348,2687,223,670,3178,10
HBCHO2,4025,5187,127,636,5461,22
HBCHO3,5640,6929,240,1307,7208,72
HBCHO4,3973,4404,255,650,4975,52
HBGLU1,3961,3950,299,855,4686,52
HBGLU10,2296,1452,489,1103,2583,80
HBGLU2,5118,5136,491,1667,5811,200
HBGLU3,4003,3123,365,1095,4294,107
HBGLU4,2560,2755,194,616,3281,7
HBGLU5,4842,5190,495,1081,5775,130
HBGLU6,5950,6393,690,1746,6783,252
HBGLU7,5789,6023,672,1632,6459,275
HBGLU8,3115,4373,160,692,4666,11
HBGLU9,4705,4569,359,1396,5151,97
HBINH1,1335,699,494,868,1540,13
HBINH2,3826,4585,147,635,5031,22
HBINH3,2855,1791,480,1120,3166,127
HBINH4,3283,2342,376,950,3559,75
HBINH5,6528,6671,715,2030,7152,480
HBINH6,4454,4348,272,938,5026,62
HBINH7,3043,2605,235,845,3390,25
HBINH8,2378,2225,213,540,2862,11
HBINH9,3341,2421,374,1023,3710,98
HBNOR,2607,2203,276,720,2983,23
HBSER1,4408,4581,350,716,5174,105
HBSER2,5104,5819,315,941,6157,109
HBSER3,4027,4108,316,677,4761,87
HBSER4,5152,5669,307,1098,6032,72
HBSER5,4820,5392,252,867,5826,64
HYPEN,2276,1636,1180,2048,2647,111
HYPEP1,3523,2191,626,825,3800,191
