annotation,DET,GES,NSI,EP,ESmu
Bladder.bladder_cell,3788,4166,1386,1949,4728
Bladder.bladder_urothelial_cell,4417,5450,1223,1697,5977
Brain_Myeloid.macrophage,1544,1066,443,1064,1817
Brain_Myeloid.microglial_cell,2266,1805,1066,2238,3011
Brain_Non-Myeloid.Bergmann_glial_cell,2023,1668,742,1570,2336
Brain_Non-Myeloid.astrocyte,2945,2383,1741,2775,3607
Brain_Non-Myeloid.brain_pericyte,2962,2145,777,1377,3334
Brain_Non-Myeloid.endothelial_cell,2696,1841,1231,1696,3359
Brain_Non-Myeloid.neuron,6272,5771,1624,3309,6730
Brain_Non-Myeloid.oligodendrocyte,3289,3092,1740,2539,4117
Brain_Non-Myeloid.oligodendrocyte_precursor_cell,5469,4666,1312,2700,5811
Fat.B_cell,1317,658,910,1189,1839
Fat.T_cell,1668,990,853,1275,2151
Fat.endothelial_cell,1936,1337,1311,1678,2690
Fat.mesenchymal_stem_cell_of_adipose,3948,4086,1425,2225,4762
Fat.myeloid_cell,2199,1831,1087,1597,2949
Fat.natural_killer_cell,1127,506,531,580,1305
Fat.unknown_cell_type,2620,1723,671,1310,3028
Heart.cardiac_muscle_cell,2108,2352,814,1734,2738
Heart.endocardial_cell,2621,1520,870,1304,2890
Heart.endothelial_cell,1980,1382,1284,1627,2885
Heart.erythrocyte,1246,1488,1153,3821,3833
Heart.fibroblast,3584,2876,1490,2323,4397
Heart.leukocyte,2094,1565,952,1311,2662
Heart.myofibroblast_cell,2670,1439,1000,1537,2991
Heart.professional_antigen_presenting_cell,2075,2321,522,1580,2996
Heart.smooth_muscle_cell,1904,1143,578,1091,2073
Heart.unknown_cell_type,1521,920,567,1268,1741
Kidney.endothelial_cell,1630,918,803,1398,2039
Kidney.epithelial_cell_of_proximal_tubule,1271,863,1371,1748,2045
Kidney.kidney_collecting_duct_epithelial_cell,1075,572,1068,1606,1831
Kidney.leukocyte,1125,496,280,705,1283
Kidney.macrophage,1003,588,468,824,1258
Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine,1031,1219,716,2136,2263
Large_Intestine.enterocyte_of_epithelium_of_large_intestine,2771,3372,1845,2793,4019
Large_Intestine.enteroendocrine_cell,1399,1551,656,1955,2187
Large_Intestine.epithelial_cell_of_large_intestine,4281,5649,1569,3171,6280
Large_Intestine.large_intestine_goblet_cell,3784,4914,1533,2429,5562
Limb_Muscle.B_cell,1285,517,527,895,1536
Limb_Muscle.T_cell,1210,443,312,390,1312
Limb_Muscle.endothelial_cell,1554,1049,1177,1561,2148
Limb_Muscle.lymphocyte,1400,559,558,802,1641
Limb_Muscle.macrophage,1091,818,547,837,1390
Limb_Muscle.mesenchymal_stem_cell,2327,2046,1548,1818,3049
Limb_Muscle.skeletal_muscle_satellite_cell,2313,1595,1464,2022,3070
Limb_Muscle.skeletal_muscle_satellite_stem_cell,1507,788,1284,1517,2280
Liver.B_cell,1058,523,349,614,1231
Liver.Kupffer_cell,870,579,655,922,1215
Liver.endothelial_cell_of_hepatic_sinusoid,2007,1326,1103,1530,2387
Liver.hepatocyte,1685,2419,1461,1641,2762
Liver.natural_killer_cell,1808,1014,347,711,1969
Lung.B_cell,1081,529,514,939,1381
Lung.T_cell,1339,613,392,672,1518
Lung.ciliated_columnar_cell_of_tracheobronchial_tree,2473,1937,531,1189,2708
Lung.classical_monocyte,1620,958,389,594,1780
Lung.epithelial_cell_of_lung,1651,1435,791,1331,2049
Lung.leukocyte,841,431,863,934,1150
Lung.lung_endothelial_cell,2343,1305,1215,1615,2870
Lung.monocyte,1396,904,603,1045,1630
Lung.myeloid_cell,1668,927,371,596,1862
Lung.natural_killer_cell,1191,641,348,756,1377
Lung.stromal_cell,3019,2311,1352,2111,3522
Lung.unknown_cell_type,574,401,550,1303,1387
Mammary_Gland.basal_cell,4269,4365,1595,2514,5169
Mammary_Gland.endothelial_cell,1224,703,621,996,1494
Mammary_Gland.luminal_epithelial_cell_of_mammary_gland,4050,3905,1292,1858,4800
Mammary_Gland.stromal_cell,2697,2044,1342,1609,3217
Marrow.B_cell,2103,1285,216,422,2360
Marrow.Slamf1-negative_multipotent_progenitor_cell,5434,5444,948,2344,6056
Marrow.Slamf1-positive_multipotent_progenitor_cell,4851,5017,542,1698,5600
Marrow.basophil,1842,1421,240,571,2168
Marrow.common_lymphoid_progenitor,5697,5932,648,1922,6384
Marrow.granulocyte,1483,1287,2008,1989,2810
Marrow.granulocyte_monocyte_progenitor_cell,4055,4436,508,1253,4990
Marrow.granulocytopoietic_cell,2611,2352,975,1217,2971
Marrow.hematopoietic_precursor_cell,5245,4168,612,1848,5562
Marrow.immature_B_cell,3055,1651,990,1453,3485
Marrow.immature_NK_T_cell,1562,823,303,474,1693
Marrow.immature_T_cell,1601,867,413,806,1773
Marrow.immature_natural_killer_cell,1262,612,315,439,1364
Marrow.late_pro-B_cell,4270,3980,904,1676,4774
Marrow.macrophage,2908,1798,660,1292,3143
Marrow.mature_natural_killer_cell,2120,786,389,483,2213
Marrow.megakaryocyte-erythroid_progenitor_cell,4277,4549,359,1395,5102
Marrow.monocyte,3034,2190,728,1065,3371
Marrow.naive_B_cell,1878,816,679,1148,2300
Marrow.pre-natural_killer_cell,2999,2590,276,631,3566
Marrow.precursor_B_cell,2407,1064,1117,1634,2897
Marrow.regulatory_T_cell,1170,634,304,635,1348
Pancreas.endothelial_cell,1948,1449,443,984,2197
Pancreas.leukocyte,1240,1148,341,875,1596
Pancreas.pancreatic_A_cell,3992,4724,1315,2624,5032
Pancreas.pancreatic_D_cell,4291,4589,1146,2672,5092
Pancreas.pancreatic_PP_cell,3259,3569,619,1650,4042
Pancreas.pancreatic_acinar_cell,867,806,1288,2704,3005
Pancreas.pancreatic_ductal_cell,4233,3416,968,1859,4635
Pancreas.pancreatic_stellate_cell,2296,1818,526,1376,2612
Pancreas.type_B_pancreatic_cell,4237,5210,1483,2977,5545
Skin.basal_cell_of_epidermis,3727,3056,1221,1678,4233
Skin.epidermal_cell,4184,4151,1064,1660,4816
Skin.keratinocyte_stem_cell,4157,2868,1373,2119,4720
Skin.leukocyte,1350,1310,137,630,1859
Skin.stem_cell_of_epidermis,3449,3331,474,1075,4192
Spleen.B_cell,1915,901,861,1546,2520
Spleen.T_cell,1823,831,808,1262,2224
Spleen.macrophage,1218,665,404,843,1400
Thymus.DN1_thymic_pro-T_cell,1309,591,484,731,1454
Thymus.immature_T_cell,3030,1329,845,1957,3480
Thymus.leukocyte,1137,611,323,716,1409
Tongue.basal_cell_of_epidermis,6031,6685,1524,2594,7151
Tongue.keratinocyte,4312,4707,1123,1664,5250
Trachea.blood_cell,2536,1983,733,1168,2988
Trachea.endothelial_cell,2437,1652,815,1497,2752
Trachea.epithelial_cell,1827,1718,934,2486,2855
Trachea.mesenchymal_cell,4067,3907,1594,2320,4819
