annotation,DET,GES,NSI,EP,ESmu
ABC,2701,2477,1265,2351,3275
ACBG,1502,1056,2126,2170,2689
ACMB,2939,2126,2169,2588,3717
ACNT1,1721,1343,2414,3364,4080
ACNT2,2131,1603,2543,2875,3620
ACOB,2422,1796,2330,2574,3421
ACTE1,2098,1610,2225,2476,3271
ACTE2,2002,1468,2484,2877,3587
CBGRC,616,419,2257,1843,2546
CBINH1,1537,920,1565,1524,2221
CBINH2,1297,920,436,814,1530
CBNBL1,1462,732,859,878,1774
CBNBL2,567,320,1649,1293,1681
CBPC,927,741,1069,1397,1547
CHOR,3818,3582,1869,2943,4424
COP1,3292,2220,2026,2376,4135
COP2,2448,1678,1627,2079,2949
CR,1712,803,894,1078,2140
DECHO1,4790,5846,454,992,6246
DECHO2,3173,1902,679,701,3424
DEGLU1,6713,6877,1294,2119,7398
DEGLU2,5825,6609,684,1046,6856
DEGLU3,6304,5811,1153,1720,6837
DEGLU4,3834,3339,377,802,4238
DEGLU5,4949,3810,649,876,5317
DEINH1,4580,3647,611,775,4902
DEINH2,3892,2855,498,743,4181
DEINH3,5359,4751,614,1149,5795
DEINH4,2948,2083,380,704,3228
DEINH5,3794,2294,690,770,4161
DEINH6,1394,697,406,661,1549
DEINH7,981,477,1012,934,1480
DEINH8,1334,589,673,695,1591
DETPH,1202,780,535,714,1338
DGGRC1,3354,2139,1552,1513,3944
DGGRC2,3539,2258,1752,1947,4380
DGNBL1,2004,965,1106,1306,2398
DGNBL2,2426,1674,1796,1937,3270
ENMFB,2649,2199,857,1780,3057
ENT1,1923,2890,220,807,3198
ENT2,4769,6396,508,1460,6709
ENT3,4325,5110,781,1764,5550
ENT4,4455,4613,922,1875,5284
ENT5,3469,3446,1124,1582,4145
ENT6,3744,4193,638,1290,4716
ENT7,2868,3405,274,976,3891
ENT8,3604,5573,466,1315,5920
ENT9,4498,6260,849,2137,6487
ENTG1,4367,4436,1380,2744,4994
ENTG2,3393,2919,2796,3130,4411
ENTG3,3896,3292,2508,2765,4555
ENTG4,4000,3504,2711,3309,5076
ENTG5,3604,3029,2498,2776,4346
ENTG6,3557,2934,2328,2559,4186
ENTG7,4072,3319,2396,2925,4815
EPEN,5629,5225,2179,3761,6104
EPMB,1714,1191,934,1824,2166
EPSC,3282,2877,1809,2655,3869
HBADR,3404,2899,304,893,3888
HBCHO1,2348,2687,223,670,3178
HBCHO2,4025,5187,127,636,5461
HBCHO3,5640,6929,240,1307,7208
HBCHO4,3973,4404,255,650,4975
HBGLU1,3961,3950,299,855,4686
HBGLU10,2296,1452,489,1103,2583
HBGLU2,5118,5136,491,1667,5811
HBGLU3,4003,3123,365,1095,4294
HBGLU4,2560,2755,194,616,3281
HBGLU5,4842,5190,495,1081,5775
HBGLU6,5950,6393,690,1746,6783
HBGLU7,5789,6023,672,1632,6459
HBGLU8,3115,4373,160,692,4666
HBGLU9,4705,4569,359,1396,5151
HBINH1,1335,699,494,868,1540
HBINH2,3826,4585,147,635,5031
HBINH3,2855,1791,480,1120,3166
HBINH4,3283,2342,376,950,3559
HBINH5,6528,6671,715,2030,7152
HBINH6,4454,4348,272,938,5026
HBINH7,3043,2605,235,845,3390
HBINH8,2378,2225,213,540,2862
HBINH9,3341,2421,374,1023,3710
HBNOR,2607,2203,276,720,2983
HBSER1,4408,4581,350,716,5174
HBSER2,5104,5819,315,941,6157
HBSER3,4027,4108,316,677,4761
HBSER4,5152,5669,307,1098,6032
HBSER5,4820,5392,252,867,5826
HYPEN,2276,1636,1180,2048,2647
HYPEP1,3523,2191,626,825,3800
HYPEP2,1892,1092,400,714,2115
HYPEP3,3546,2270,440,578,3805
HYPEP4,2120,1426,401,575,2427
HYPEP5,2464,1754,610,803,2804
HYPEP6,2641,2408,302,625,3134
HYPEP7,1159,1154,303,596,1615
HYPEP8,1311,970,476,782,1594
MBCHO1,3669,3755,323,778,4381
MBDOP1,1937,1211,469,751,2177
MBDOP2,3309,2614,336,628,3680
MEGLU1,5567,5057,492,1103,6048
MEGLU10,5213,4147,659,895,5656
MEGLU11,5164,4410,557,848,5621
MEGLU14,3131,2723,289,567,3558
MEGLU2,5322,4521,606,904,5719
MEGLU3,3907,2637,297,486,4153
MEGLU4,3746,2420,578,890,4026
MEGLU5,4872,3931,684,1006,5212
MEGLU6,5233,5034,440,801,5802
MEGLU7,3740,2324,538,993,3937
MEGLU8,4098,2834,687,969,4527
MEGLU9,4355,3333,614,915,4749
MEINH1,1055,505,765,1007,1380
MEINH10,5827,4901,981,1229,6253
MEINH11,2396,967,485,549,2595
MEINH12,2599,1296,324,529,2788
MEINH13,3855,3143,272,678,4220
MEINH14,1413,686,368,488,1584
MEINH2,6012,5417,595,1057,6383
MEINH3,5368,4888,469,932,5822
MEINH4,4286,3281,384,572,4651
MEINH5,3487,2082,558,895,3748
MEINH6,3109,2084,351,732,3403
MEINH7,2772,1695,380,797,2975
MEINH8,2056,1160,430,829,2319
MEINH9,4019,2517,892,1173,4408
MFOL1,3275,3210,2737,3203,4398
MFOL2,3120,2996,2357,2523,4020
MGL1,1689,1264,2721,2595,3163
MGL2,1872,1431,2681,2585,3139
MGL3,1981,1604,2605,2565,3139
MOL1,2402,2326,1904,2485,3538
MOL2,2807,2915,1952,2776,3928
MOL3,3065,3176,2402,2270,4012
MSN1,4943,4162,1680,1967,5420
MSN2,4359,3143,1777,1861,4842
MSN3,3960,2443,1573,1737,4576
MSN4,4522,3044,1559,1788,5133
MSN5,2962,1666,1077,1321,3327
MSN6,1392,669,1238,1203,2001
NFOL1,3406,2969,2264,2331,4131
NFOL2,2631,2177,1518,1984,2999
OBDOP1,2190,1160,954,1005,2597
OBDOP2,1517,775,1246,1340,2079
OBINH1,1846,814,1132,1095,2311
OBINH2,2329,1341,2024,1943,3190
OBINH3,1629,855,1657,1539,2388
OBINH4,1326,609,1475,1386,2051
OBINH5,1770,954,544,822,1960
OBNBL1,3166,2259,588,942,3554
OBNBL2,2673,1374,811,922,2955
OBNBL3,1720,904,2289,2167,2995
OBNBL4,838,402,1141,1000,1455
OBNBL5,1283,583,1594,1318,2116
OEC,1984,1497,2556,2716,3456
OPC,3596,2127,1719,2616,4235
PER1,4429,3830,2320,3247,5255
PER2,4296,4012,1907,2651,4885
PER3,1541,1002,1615,1994,2327
PSNF1,3625,3901,387,1073,4379
PSNF2,3482,3792,458,1101,4346
PSNF3,3337,3771,351,1060,4282
PSNP1,5174,6045,1023,1598,6286
PSNP2,3770,4583,592,1234,4960
PSNP3,4957,6290,1043,1759,6504
PSNP4,3228,4191,457,982,4570
PSNP5,4137,5094,618,1419,5368
PSNP6,5132,6544,767,1734,6716
PSPEP1,3844,4026,485,1020,4674
PSPEP2,4617,5189,556,1347,5566
PSPEP3,4358,4438,585,1213,5035
PSPEP4,4233,3932,650,1233,4704
PSPEP5,2788,2209,400,845,3135
PSPEP6,2954,2465,422,838,3294
PSPEP7,3043,2381,472,993,3400
PSPEP8,3161,2993,304,772,3776
PVM1,1855,1373,2726,2765,3312
PVM2,1798,1342,2271,2491,2867
RGDG,1328,778,1603,1837,2220
RGSZ,1346,899,1999,2264,2679
SATG1,2076,1633,696,1440,2334
SATG2,3015,2554,2209,2470,3742
SCGLU1,1695,912,381,541,1979
SCGLU10,1652,863,523,669,1880
SCGLU2,2624,1449,335,412,2833
SCGLU3,2512,1651,386,687,2800
SCGLU4,3004,1943,680,873,3272
SCGLU5,2793,1746,867,1002,3150
SCGLU6,1857,1048,792,1045,2197
SCGLU7,1100,607,536,741,1329
SCGLU8,1385,938,347,582,1605
SCGLU9,1721,888,804,859,2036
SCHW,1713,1166,868,1206,1997
SCINH1,2101,1422,280,514,2343
SCINH10,2198,1145,352,488,2377
SCINH11,1863,1162,488,754,2078
SCINH2,2943,1657,343,464,3184
SCINH3,2508,1631,355,573,2803
SCINH4,1917,1056,352,533,2060
SCINH5,3067,2189,341,556,3406
SCINH6,3287,2575,500,766,3665
SCINH7,1849,1091,520,729,2129
SCINH8,2270,1275,591,834,2499
SCINH9,1781,897,614,743,2006
SEPNBL,1845,742,503,464,2062
SYCHO1,2541,3333,279,687,3905
SYCHO2,3712,4733,441,941,5123
SYNOR1,3790,4667,561,1029,5015
SYNOR2,3550,4445,493,1021,4855
SYNOR3,4861,6244,1117,1578,6509
SYNOR4,4211,5718,750,1289,5933
SYNOR5,2791,2702,504,922,3356
SZNBL,2814,2146,2069,2614,3688
TECHO,4024,3545,357,496,4673
TEGLU1,4086,2599,904,999,4461
TEGLU10,6698,7178,1141,1689,7590
TEGLU11,6681,6917,1378,1736,7474
TEGLU12,4539,3897,960,1313,5084
TEGLU13,5175,4626,527,1106,5649
TEGLU14,3753,3875,282,784,4504
TEGLU15,5554,5805,635,1335,6343
TEGLU16,3986,3893,442,1048,4728
TEGLU17,6493,6382,1165,1682,7219
TEGLU18,6392,6127,1030,1414,7023
TEGLU19,4349,3392,404,806,4753
TEGLU2,5412,5026,752,1137,5947
TEGLU20,3992,4005,321,899,4681
TEGLU21,4840,4620,418,866,5431
TEGLU22,5403,4949,1329,1818,6037
TEGLU23,6226,6794,1000,1639,7218
TEGLU24,6113,6037,1580,1923,6874
TEGLU3,5981,5308,1342,1492,6621
TEGLU4,6137,6266,1169,2036,6872
TEGLU5,4692,4280,609,1083,5216
TEGLU6,4060,2537,1209,1327,4475
TEGLU7,7160,7625,1588,2101,8147
TEGLU8,6858,7185,1534,2100,7817
TEGLU9,4803,3948,630,910,5167
TEINH1,5652,4696,569,712,6001
TEINH10,4577,4544,933,1064,5171
TEINH11,6322,7015,935,1294,7343
TEINH12,5648,6161,644,915,6545
TEINH13,4961,5187,471,788,5722
TEINH14,3776,2530,893,1032,4188
TEINH15,4823,3698,1294,1527,5363
TEINH16,5208,4714,1017,1167,5709
TEINH17,4491,3567,947,1082,4941
