tissue_celltype,tissue,cell_type,n_cells,annotation,color_by_variable,annotation_fmt,DET,GES,NSI,EP,ESmu,N_cells_es
Large_Intestine.epithelial_cell_of_large_intestine,Large Intestine,epithelial cell of large intestine,2019,Large_Intestine.epithelial_cell_of_large_intestine,Large_Intestine,Large Intestine - epithelial cell of large intestine,4281,5649,1569,3171,6280,2019
Large_Intestine.large_intestine_goblet_cell,Large Intestine,large intestine goblet cell,833,Large_Intestine.large_intestine_goblet_cell,Large_Intestine,Large Intestine - large intestine goblet cell,3784,4914,1533,2429,5562,833
Limb_Muscle.B_cell,Limb Muscle,B cell,71,Limb_Muscle.B_cell,Limb_Muscle,Limb Muscle - B cell,1285,517,527,895,1536,71
Limb_Muscle.endothelial_cell,Limb Muscle,endothelial cell,219,Limb_Muscle.endothelial_cell,Limb_Muscle,Limb Muscle - endothelial cell,1554,1049,1177,1561,2148,219
Limb_Muscle.lymphocyte,Limb Muscle,lymphocyte,81,Limb_Muscle.lymphocyte,Limb_Muscle,Limb Muscle - lymphocyte,1400,559,558,802,1641,81
Limb_Muscle.macrophage,Limb Muscle,macrophage,76,Limb_Muscle.macrophage,Limb_Muscle,Limb Muscle - macrophage,1091,818,547,837,1390,76
Limb_Muscle.mesenchymal_stem_cell,Limb Muscle,mesenchymal stem cell,499,Limb_Muscle.mesenchymal_stem_cell,Limb_Muscle,Limb Muscle - mesenchymal stem cell,2327,2046,1548,1818,3049,499
Limb_Muscle.skeletal_muscle_satellite_cell,Limb Muscle,skeletal muscle satellite cell,540,Limb_Muscle.skeletal_muscle_satellite_cell,Limb_Muscle,Limb Muscle - skeletal muscle satellite cell,2313,1595,1464,2022,3070,540
Limb_Muscle.skeletal_muscle_satellite_stem_cell,Limb Muscle,skeletal muscle satellite stem cell,439,Limb_Muscle.skeletal_muscle_satellite_stem_cell,Limb_Muscle,Limb Muscle - skeletal muscle satellite stem cell,1507,788,1284,1517,2280,439
Limb_Muscle.T_cell,Limb Muscle,T cell,35,Limb_Muscle.T_cell,Limb_Muscle,Limb Muscle - T cell,1210,443,312,390,1312,35
Liver.B_cell,Liver,B cell,41,Liver.B_cell,Liver,Liver - B cell,1058,523,349,614,1231,41
Liver.endothelial_cell_of_hepatic_sinusoid,Liver,endothelial cell of hepatic sinusoid,182,Liver.endothelial_cell_of_hepatic_sinusoid,Liver,Liver - endothelial cell of hepatic sinusoid,2007,1326,1103,1530,2387,182
Liver.hepatocyte,Liver,hepatocyte,391,Liver.hepatocyte,Liver,Liver - hepatocyte,1685,2419,1461,1641,2762,391
Liver.Kupffer_cell,Liver,Kupffer cell,61,Liver.Kupffer_cell,Liver,Liver - Kupffer cell,870,579,655,922,1215,61
Liver.natural_killer_cell,Liver,natural killer cell,39,Liver.natural_killer_cell,Liver,Liver - natural killer cell,1808,1014,347,711,1969,39
Lung.B_cell,Lung,B cell,57,Lung.B_cell,Lung,Lung - B cell,1081,529,514,939,1381,57
Lung.ciliated_columnar_cell_of_tracheobronchial_tree,Lung,ciliated columnar cell of tracheobronchial tree,25,Lung.ciliated_columnar_cell_of_tracheobronchial_tree,Lung,Lung - ciliated columnar cell of tracheobronchial tree,2473,1937,531,1189,2708,25
Lung.classical_monocyte,Lung,classical monocyte,90,Lung.classical_monocyte,Lung,Lung - classical monocyte,1620,958,389,594,1780,90
Lung.epithelial_cell_of_lung,Lung,epithelial cell of lung,113,Lung.epithelial_cell_of_lung,Lung,Lung - epithelial cell of lung,1651,1435,791,1331,2049,113
Lung.leukocyte,Lung,leukocyte,35,Lung.leukocyte,Lung,Lung - leukocyte,841,431,863,934,1150,35
Lung.lung_endothelial_cell,Lung,lung endothelial cell,693,Lung.lung_endothelial_cell,Lung,Lung - lung endothelial cell,2343,1305,1215,1615,2870,693
Lung.monocyte,Lung,monocyte,65,Lung.monocyte,Lung,Lung - monocyte,1396,904,603,1045,1630,65
Lung.myeloid_cell,Lung,myeloid cell,85,Lung.myeloid_cell,Lung,Lung - myeloid cell,1668,927,371,596,1862,85
Lung.natural_killer_cell,Lung,natural killer cell,37,Lung.natural_killer_cell,Lung,Lung - natural killer cell,1191,641,348,756,1377,37
Lung.stromal_cell,Lung,stromal cell,423,Lung.stromal_cell,Lung,Lung - stromal cell,3019,2311,1352,2111,3522,423
Lung.T_cell,Lung,T cell,53,Lung.T_cell,Lung,Lung - T cell,1339,613,392,672,1518,53
Lung.unknown_cell_type,Lung,unknown cell type,40,Lung.unknown_cell_type,Lung,Lung - unknown cell type,574,401,550,1303,1387,40
Mammary_Gland.basal_cell,Mammary Gland,basal cell,1340,Mammary_Gland.basal_cell,Mammary_Gland,Mammary Gland - basal cell,4269,4365,1595,2514,5169,1340
Mammary_Gland.endothelial_cell,Mammary Gland,endothelial cell,47,Mammary_Gland.endothelial_cell,Mammary_Gland,Mammary Gland - endothelial cell,1224,703,621,996,1494,47
Mammary_Gland.luminal_epithelial_cell_of_mammary_gland,Mammary Gland,luminal epithelial cell of mammary gland,578,Mammary_Gland.luminal_epithelial_cell_of_mammary_gland,Mammary_Gland,Mammary Gland - luminal epithelial cell of mammary gland,4050,3905,1292,1858,4800,578
Mammary_Gland.stromal_cell,Mammary Gland,stromal cell,440,Mammary_Gland.stromal_cell,Mammary_Gland,Mammary Gland - stromal cell,2697,2044,1342,1609,3217,440
Marrow.B_cell,Marrow,B cell,44,Marrow.B_cell,Marrow,Marrow - B cell,2103,1285,216,422,2360,44
Marrow.basophil,Marrow,basophil,25,Marrow.basophil,Marrow,Marrow - basophil,1842,1421,240,571,2168,25
Marrow.common_lymphoid_progenitor,Marrow,common lymphoid progenitor,156,Marrow.common_lymphoid_progenitor,Marrow,Marrow - common lymphoid progenitor,5697,5932,648,1922,6384,156
Marrow.granulocyte,Marrow,granulocyte,761,Marrow.granulocyte,Marrow,Marrow - granulocyte,1483,1287,2008,1989,2810,761
Marrow.granulocyte_monocyte_progenitor_cell,Marrow,granulocyte monocyte progenitor cell,134,Marrow.granulocyte_monocyte_progenitor_cell,Marrow,Marrow - granulocyte monocyte progenitor cell,4055,4436,508,1253,4990,134
