statistic,DET,GES,NSI,EP,es_mu
Min.,254,178,81,79,515
1st Qu.,912.75,622.25,225,175.5,1286.5
Median,1154,875.5,305.5,236.5,1511
Mean,1228.8333333333333,920.45,435.8833333333333,364.8666666666667,1620.0333333333333
3rd Qu.,1590.5,1200.5,439.75,311,1964.75
Max.,2280,2124,1783,1884,2733
