statistic,DET,GES,NSI,EP,es_mu
Min.,29,33,122,251,1385
1st Qu.,1566.5,913,256.5,538.5,2088
Median,2327,1298,391,763,2610
Mean,2484.8837209302324,1875.0232558139535,614.5116279069767,983.9069767441861,2963.6511627906975
3rd Qu.,3314.5,2503.5,658.5,1341.5,3698.5
Max.,5458,5665,2677,2348,6193
