statistic,DET,GES,NSI,EP,ESmu
Min.,574,401,137,390,1150
1st Qu.,1399.5,865,524,961.5,1849
Median,2103,1520,814,1517,2810
Mean,2486.486956521739,2088.208695652174,875.591304347826,1517.504347826087,3071.6173913043476
3rd Qu.,3274,2966,1227,1890.5,4079.5
Max.,6272,6685,2008,3821,7151
