statistic,DET,GES,NSI,EP,es_mu
Min.,665,193,113,85,750
1st Qu.,1669,757,367.75,450.5,2101.25
Median,1984,896.5,492.5,777,2483
Mean,1929.25,1018.1041666666666,549.1458333333334,883.2708333333334,2402.8958333333335
3rd Qu.,2181,1295.5,706,1022.5,2857
Max.,3090,2085,1737,2773,3758
