statistic,DET,GES,NSI,EP,es_mu
Min.,599,192,169,149,686
1st Qu.,998,424,304,281,1246
Median,1246,594,422,355,1522
Mean,1334.2666666666667,739.7777777777778,558,616.8666666666667,1597.6444444444444
3rd Qu.,1645,885,587,568,2020
Max.,2264,2204,1730,2131,2724
