dataset,annotation,annotation_fmt,p.value,Mann U statistic
MSN,TEINH6,TEINH6,0.161152089674091,373034.5
MSN,TEINH7,TEINH7,0.335374415150592,361815
MSN,TEINH8,TEINH8,0.0143232892866048,394502
MSN,TEINH9,TEINH9,0.0998869339103075,382471.5
MSN,VECA,VECA,0.822560234485738,332417
MSN,VECC,VECC,0.909453289044001,322442.5
MSN,VECV,VECV,0.954712322147871,312347.5
MSN,VLMC1,VLMC1,0.857188776405372,331492
MSN,VLMC2,VLMC2,0.557143208401457,349926
MSN,VSMCA,VSMCA,0.764186405013877,338182
Hypothalamus,Adcyap1_1_Tac1,HYPR-NEURO1,0.152737966650219,93699
Hypothalamus,Adcyap1_2,HYPR-NEURO2,0.151053089220183,94389.5
Hypothalamus,Avp_1_high,HYPR-NEURO3,0.227245634791742,91135
Hypothalamus,Avp_2_high,HYPR-NEURO4,0.0284503318964645,99049
Hypothalamus,Avp_3_medium,HYPR-NEURO5,0.0948519020698194,94614
Hypothalamus,Dopamine_1,HYPR-NEURO9,0.00940372166798778,104704
Hypothalamus,Dopamine_2_low_VMAT2,HYPR-NEURO10,0.145124472330498,92866
Hypothalamus,Dopamine_3,HYPR-NEURO11,0.0604118057919597,99114
Hypothalamus,Dopamine_4,HYPR-NEURO12,0.805986878668251,79873
Hypothalamus,GABA1,HYPR-NEURO27,0.39290173703447,88141
Hypothalamus,GABA_10,HYPR-NEURO13,0.536429207438187,85254
Hypothalamus,GABA_11_Nts_1,HYPR-NEURO14,0.528751895613147,85367.5
Hypothalamus,GABA_12_Nts_2,HYPR-NEURO15,0.107439607465418,96624.5
Hypothalamus,GABA_13_Galanin,HYPR-NEURO16,0.299309566137172,90273.5
Hypothalamus,GABA_14_Npy_Agrp,HYPR-NEURO17,0.12082060750511,94341
Hypothalamus,GABA_15_Npynegmedium,HYPR-NEURO18,0.357361580233023,88456
Hypothalamus,GABA_2_Gucy1a3,HYPR-NEURO19,0.482677366809945,86337
Hypothalamus,GABA_3_Crhpos_neg_Lhx6,HYPR-NEURO20,0.50480188473094,85896
Hypothalamus,GABA_4_Crhpos_neg_Pgr15l,HYPR-NEURO21,0.151145610962601,93976
Hypothalamus,GABA_5_Calcr_Lhx1,HYPR-NEURO22,0.12172041431685,95417
Hypothalamus,GABA_6_Otof_Lhx1,HYPR-NEURO23,0.106704684448456,94633
Hypothalamus,GABA_7_Pomcpos_neg,HYPR-NEURO24,0.526596421547755,85488
Hypothalamus,GABA_8,HYPR-NEURO25,0.451241445934561,86959
Hypothalamus,GABA_9,HYPR-NEURO26,0.00604653564762697,106611
Hypothalamus,Gadneglow_Gnrhneg_pos,HYPR-NEURO28,0.186940034908847,91602
Hypothalamus,Hcrt,HYPR-NEURO29,0.292110511692767,89919.5
Hypothalamus,Hmitpos_neg,HYPR-NEURO30,0.0910135729908191,95930
Hypothalamus,Npvf,HYPR-NEURO31,0.577457392670267,84870
Hypothalamus,Oxytocin_1,HYPR-NEURO32,0.235098907517409,91163.5
Hypothalamus,Oxytocin_2,HYPR-NEURO33,0.010521493750144,100171
Hypothalamus,Oxytocin_3,HYPR-NEURO34,0.0499826155269316,97562.5
Hypothalamus,Oxytocin_4,HYPR-NEURO35,0.0535000889507367,97144
Hypothalamus,Pmch,HYPR-NEURO36,0.230412714392708,89332.5
Hypothalamus,Sst_1_low,HYPR-NEURO37,0.0379553694545176,99285
Hypothalamus,Sst_2_high,HYPR-NEURO38,0.345295391126775,88706
Hypothalamus,Sst_3_medium,HYPR-NEURO39,0.133985936136972,94015
Hypothalamus,Trh_1_low,HYPR-NEURO40,0.0438446858496182,99155.5
Hypothalamus,Trh_2_medium,HYPR-NEURO41,0.250128788521667,91118
Hypothalamus,Trh_3_high,HYPR-NEURO42,0.0146486752327712,100657.5
Hypothalamus,Vglut2_11,HYPR-NEURO43,0.230295259415675,92341
Hypothalamus,Vglut2_12_Mgat4b,HYPR-NEURO44,0.435381838574176,87151.5
Hypothalamus,Vglut2_13Ninl_Rfx5_Zfp346,HYPR-NEURO45,0.938232643894011,74603.5
Hypothalamus,Vglut2_14_Col9a2,HYPR-NEURO46,0.857193685065595,79382
Hypothalamus,Vglut2_15_Hcn1_6430411K18Rik,HYPR-NEURO47,0.527016604522711,85529
Hypothalamus,Vglut2_2_Crhpos_neg,HYPR-NEURO48,0.0492752886356048,97081
Hypothalamus,Vglut2_3_Crhnegpos_neg_low,HYPR-NEURO49,0.0328704713410418,100395.5
Hypothalamus,Vglut2_4,HYPR-NEURO50,0.281944743295822,89918
Hypothalamus,Vglut2_6_Prmt8_Ugdh,HYPR-NEURO51,0.700638009504074,82391
Hypothalamus,Vglut2_7_Pgam_Snx12,HYPR-NEURO52,0.748131699168827,81805.5
Hypothalamus,Vglut2_8,HYPR-NEURO53,0.148134760196348,92397
Hypothalamus,Vglut2_9_Gpr149,HYPR-NEURO54,0.679818825675162,83198
Hypothalamus,astrocytes,HYPR-ASTRO1,0.965072752650882,71832
Hypothalamus,circadian_1_Vip_Grppos_neg,HYPR-NEURO6,0.266191499644421,89447
Hypothalamus,circadian_2_Nms_VIPpos_neg,HYPR-NEURO7,0.0348251958447175,96929.5
Hypothalamus,circadian_3_Per2,HYPR-NEURO8,0.596570346015652,84590
Hypothalamus,endothelial,HYPR-EPI1,0.906768500944379,75273
Hypothalamus,ependymal,HYPR-EPENDY1,0.548504288484486,84957
Hypothalamus,microglia,HYPR-MICRO1,0.968318977068085,72993
Hypothalamus,oligos,HYPR-OLIGO1,0.988318287770492,67700.5
Hypothalamus,vsm,HYPR-MURAL1,0.925769603931407,74928
