gene_symbol	ensembl_gene_id
Zbtb7b	ENSG00000160685
Ache	ENSG00000087085
Rapgef3	ENSG00000079337
Prkag1	ENSG00000181929
Rab21	ENSG00000080371
Ksr2	ENSG00000171435
Hip1r	ENSG00000130787
Zfhx3	ENSG00000140836
Mc4r	ENSG00000166603
Gipr	ENSG00000010310
Entpd6	ENSG00000197586
Zfr2	ENSG00000105278
Znf169	ENSG00000175787
