annotation,AD_Jansen2019,AD_Lambert2013,ADHD_PGC_Demontis2017,AN_PGC_Duncan2017,ASD_iPSYCH_PGC_Grove2018,BIP_PGC2018,blood_EOSINOPHIL_COUNT,BMI_female_Pulit2019,BMI_Locke2015,BMI_male_Pulit2019,BMI_Pulit2019,BMI_UKBB_Loh2018,BMI_UPDATE_Yengo2018,CAD_Schunkert2011,CARDIOVASCULAR_UKBB_Loh2018,CELIAC_Dubois2010,CROHNS_Jostins2012,DEPRESSED_AFFECT_Nagel2018,DEPRESSION_Nagel2018,DIASTOLICadjMED_UKBB_Loh2018,DS_Okbay2016,EA2_Okbay2016,EA3_Lee2018,FG_Female_Lagou2018,FG_Male_Lagou2018,FI_Female_Lagou2018,FI_Male_Lagou2018,HBA1C_MAGIC_Wheeler2017,HEIGHT_UKBB_Loh2018,HEIGHT_Wood2014,HEIGHT_Yengo2018,IBD_Jostins2012,INSOMNIA_Jansen2018,INTELLIGENCE_Savage2018,INTELLIGENCE_Sniekers2017,LIPIDS_HDL_Teslovich2010,LIPIDS_HDL_Willer2013,LIPIDS_LDL_Teslovich2010,LIPIDS_LDL_Willer2013,LIPIDS_TC_Willer2013,LIPIDS_TG_Teslovich2010,LIPIDS_TG_Willer2013,LUPUS_2015,MDD_Howard2019,MDD_PGC_Wray2018,MS_Patsopoulos2011,NEUROTICISM_Nagel2018,NEUROTICISM_OKBAY2016,PBC_Cordell2015,RA_Okada2014,RB_Linner_2019,SCZ_EUR_Ripke2014,SCZ_Pardinas2018,SWB_Okbay2016,SYSTOLICadjMED_UKBB_Loh2018,T1D_Bradfield2011,T2D_DIAMANTE_Mahajan2018,T2D_UKBB_DIAMANTE_Mahajan2018,T2D_UKBB_Loh2018,T2D_Xue2018,T2DadjBMI_DIAMANTE_Mahajan2018,UC_Jostins2012,WHR_adjBMI_Shungin2015,WHR_Pulit2019,WHR_Shungin2015,WHRadjBMI_Pulit2019,WHRadjBMI_UKBB_Loh2018,WORRY_Nagel2018
ECM_top10,0.210978007119,0.446275657283,0.909626842185,0.905456861024,0.980181284537,0.998732000675,0.148082111872,0.726432734254,0.567551368219,0.741124363595,0.730874042961,0.794460178159,0.67728766027,0.183516288066,0.111156968669,0.149610901319,0.115923780522,0.585205289547,0.501356583712,0.107200267123,0.962806137658,0.86069204027,0.888427886569,0.95520735805799994,0.955323954354,0.983582013101,0.952115295685,0.46196381556,0.141159021205,0.217574473693,0.184506881247,0.202194825812,0.228362670078,0.424828109585,0.821418467203,0.570198776839,0.541216789238,0.0937409822487,0.106720505163,0.0767404122879,0.577980927333,0.534446660983,0.145664687333,0.217034926413,0.364892970232,0.185793644781,0.88863526638300006,0.906764149473,0.333241642771,0.7217103268,0.9759789196,0.941634213384,0.867035575777,0.710139224109,0.133519100122,0.097467267111,0.615245512954,0.326421727615,0.326609597238,0.559641808173,0.327859480648,0.494401467691,0.161982880752,0.0797632222879,0.284914035987,0.0132389282136,0.00670905617369,0.988176860541
ECM_top100,0.921191365902,0.895452564064,0.881605514015,0.787929831079,0.881228486364,0.875658974851,0.69853230261,0.709349443422,0.548713834364,0.727723668832,0.670377891467,0.579591335283,0.695389655217,0.146155614806,0.0838138846898,0.351841769189,0.354985881025,0.721902974351,0.601592042318,0.0169809870088,0.983603021964,0.825735316065,0.852758832961,0.755787301817,0.765626047113,0.786160309548,0.904069428563,0.651204382746,0.317719218522,0.317854757288,0.300948644274,0.886229979677,0.533211664919,0.968225251472,0.826559223231,0.494466648045,0.576132523611,0.196601881364,0.24002673462,0.280514133662,0.232553858282,0.449601942512,0.179285219862,0.775469982329,0.540539239659,0.47534929401,0.838824322744,0.899302620071,0.3165156335,0.487923090092,0.919190843605,0.890954721023,0.731413598443,0.956685844897,0.0222436924451,0.346086692189,0.14929237445,0.244232480837,0.343427608766,0.593592172852,0.148415082696,0.963439439713,0.6202598401,0.637037244103,0.589464153436,0.39735347043,0.341024729021,0.993647694295
ECM_top20,0.194800390372,0.124267089825,0.842393398733,0.348784371603,0.925621546651,0.995704961679,0.127771844538,0.648362553117,0.540461888068,0.684692577633,0.660711262411,0.712720788992,0.558145525884,0.623330750326,0.111019937571,0.140506100063,0.0186744751655,0.0454924427992,0.240107977044,0.189014743547,0.856001313975,0.534394612277,0.698783413628,0.893112332408,0.967047557809,0.54274185339,0.924124297012,0.763083926797,0.0291173433265,0.0532067666436,0.0369141319035,0.025392559289,0.625871594673,0.136328694214,0.702846307573,0.213316003389,0.225249555944,0.0565442369951,0.0482978769384,0.0747447923456,0.249806963348,0.452886366887,0.894857299062,0.113066982364,0.233404256848,0.0556494680879,0.301989868392,0.392492331383,0.551378607365,0.99654649757,0.999965222535,0.953347818105,0.72823543504,0.813331285719,0.241794496541,0.288580758777,0.85608574076,0.68475895781,0.778171151328,0.980401023424,0.735952422519,0.135790415271,0.0461345383666,0.26955195215,0.0558596643382,0.0532623632612,0.0357691842847,0.73367560137
ECM_top30,0.0553683892686,0.432658037288,0.60272254965,0.193502790868,0.909232643766,0.974222167684,0.0985834580555,0.924643865733,0.690299625659,0.762105041765,0.906212249783,0.84896784682,0.839574754329,0.907454121359,0.273601068602,0.376937345209,0.0130045072258,0.146593872995,0.250548456858,0.309892275535,0.296064264613,0.698318239773,0.88740191918,0.523831028837,0.824752618973,0.878965160504,0.974226984608,0.803668455843,0.0466352901477,0.129204097168,0.0517247177542,0.00930620317027,0.559334232346,0.263270175321,0.698365024752,0.375024210254,0.493956228568,0.644279474698,0.636696343844,0.691685053278,0.404804375225,0.574865140199,0.773037600297,0.0779869200602,0.290950347784,0.449610516633,0.642276887443,0.301558407349,0.330902664489,0.979481598843,0.997769022162,0.705846896324,0.328872628815,0.166556834853,0.288877261804,0.0779829264497,0.79571012821,0.827970317687,0.968248013996,0.970886183752,0.707189660491,0.180175291207,0.754754606305,0.733342796349,0.777561617862,0.334496536137,0.245553360615,0.976454574644
ECM_top40,0.137537552744,0.0900776388053,0.884309989164,0.64185106302,0.869171448478,0.916461404224,0.215827632678,0.586456423932,0.888423328575,0.857460979487,0.723824008987,0.666805065,0.744017023387,0.721363542659,0.370750970516,0.319838712286,0.00852798810092,0.582174392004,0.92959838004,0.310678212593,0.977648468899,0.798181620582,0.727612516277,0.78803833319,0.830431964238,0.786131954694,0.949568281264,0.812396067216,0.0987202258915,0.263416507763,0.116525388375,0.0506389691309,0.991377140909,0.553911674014,0.806857027637,0.0413104544216,0.0399152755821,0.156116471264,0.129570093901,0.149982375518,0.183330093354,0.239841699321,0.710405051932,0.299388661896,0.367485840847,0.199631237574,0.7741015333,0.263650112307,0.198456303025,0.999736194466,0.966197230984,0.950647929243,0.948221174413,0.559776685246,0.338921697653,0.027888753376,0.926525853101,0.734277240468,0.801527459823,0.998565444292,0.698895028834,0.426397466721,0.177955951817,0.150297272938,0.372759398103,0.0728381232863,0.025395069716,0.981877967576
ECM_top50,0.147007571468,0.125537256541,0.884212333301,0.545595201709,0.941490632736,0.665941728667,0.75985826711,0.616835777445,0.832642147481,0.814776984151,0.705947463126,0.727311977632,0.72570003623,0.842676952357,0.173511759334,0.700430577818,0.0787602879032,0.620989816786,0.834288311612,0.251619886062,0.94211475731,0.555787004498,0.697857369502,0.322162915748,0.450644183845,0.342088132535,0.911534979476,0.975302817861,0.499513397966,0.532757678621,0.506011438036,0.549204965214,0.627995307896,0.599620722656,0.696582976236,0.153416955462,0.196747819491,0.134500651203,0.110302998525,0.115784015248,0.183024334062,0.211422330501,0.788435768347,0.195781852228,0.737540126215,0.803104687392,0.440967663113,0.482173807226,0.48333634844,0.742032593476,0.928453050084,0.776893470041,0.625468755476,0.645803977342,0.166297684151,0.00439325723167,0.861338741759,0.811279073261,0.941339965691,0.995814058518,0.827961152495,0.997569924661,0.150066064183,0.617194920928,0.332051446036,0.284800765111,0.262288633931,0.665117789797
ECM_top60,0.123794263745,0.219045798177,0.956574320678,0.750442290639,0.833822361822,0.78359009417,0.304011382457,0.86536432993,0.961918923105,0.7923926609,0.881440303668,0.793299306437,0.844638842194,0.649742560023,0.0749556468247,0.900532002483,0.0785437555394,0.30062627741,0.427934207943,0.133727686782,0.793070240823,0.220462007075,0.263363097717,0.747538331578,0.833590166479,0.399110632743,0.959782657117,0.999661911864,0.0695966429085,0.143057947176,0.0753855863178,0.352562030012,0.144966231634,0.319667109821,0.77870758831,0.23382706617,0.161629778332,0.390457770847,0.496636768081,0.387845928784,0.396347948007,0.444220952432,0.492425009464,0.518178545876,0.110569970539,0.948896308898,0.870823204972,0.184755816254,0.699960351077,0.900615303128,0.972533368509,0.798190116286,0.54555048837,0.694039694247,0.0703803816379,0.16226146071,0.795529224222,0.852960104944,0.886427805559,0.985249826311,0.726124573424,0.83545036651,0.0928353261052,0.378611199635,0.26918115866,0.220054945911,0.142689272334,0.975852294705
ECM_top70,0.153883650714,0.19288800334,0.940717571417,0.407592615603,0.939129155314,0.972809270418,0.0909232101989,0.543687606228,0.364689617627,0.46092775847,0.596542291953,0.753128454518,0.620439763603,0.754598630552,0.336138650517,0.121561965553,0.0466484553224,0.80014227797,0.315949034261,0.430783179975,0.968877695239,0.42869764983,0.564314316388,0.733406205872,0.819216420233,0.530030609244,0.900744539461,0.73838746827,0.334291245181,0.587365455,0.390827082634,0.236104258757,0.699207966167,0.486634725023,0.843919139273,0.612855689646,0.533985096154,0.34030238662,0.276419148523,0.461992808975,0.392003189017,0.270519134591,0.737389882042,0.600499467375,0.663631797986,0.602542157719,0.813106498341,0.325559184838,0.356974980161,0.978242900882,0.905045211741,0.984264736445,0.946524580968,0.616780964729,0.331868671398,0.0264928301135,0.79266742021,0.657248006787,0.786432971154,0.8045923062,0.547706019884,0.642608582758,0.264179410851,0.284028837652,0.539661703344,0.172646085335,0.166675846303,0.905382260086
ECM_top80,0.167909295493,0.185700024974,0.763513962702,0.469143434638,0.410528394214,0.794197119837,0.100564195884,0.403226012785,0.84869682254,0.726434758113,0.537734441843,0.470691188136,0.616069177744,0.70580110828,0.0319259471902,0.257995051201,0.0889282729706,0.441049984642,0.235373227842,0.0365668950502,0.838067433409,0.469568385833,0.744893292583,0.327616184358,0.521132930857,0.57857401394,0.922872545925,0.988468867736,0.0590583043161,0.0568949977019,0.0622637667633,0.227788166128,0.16327826562,0.851599450098,0.986857706708,0.155923993368,0.139966888516,0.164689622817,0.191407671146,0.0995770880624,0.222367823231,0.154683164413,0.194034441541,0.144545493473,0.290113596764,0.433576981302,0.906721899651,0.907464421873,0.570485589599,0.995159796044,0.947393069077,0.449047207027,0.248492098419,0.612398472613,0.0783024099854,0.565175611772,0.406147896122,0.34451692294,0.46862084209,0.574454759319,0.32358056968,0.675887276403,0.148120443401,0.174723872394,0.647936221128,0.070585175308,0.057427193448,0.987836992272
ECM_top90,0.773007529088,0.862983220642,0.889785031313,0.939786258138,0.886529485294,0.747809666106,0.432608502439,0.56792708805,0.612458418436,0.743501295522,0.726821363647,0.552159172285,0.532975075781,0.358116006043,0.157344901842,0.622431598663,0.122415553773,0.353425122895,0.643876878197,0.0531240810873,0.873149928125,0.471365150191,0.843530466631,0.404234839597,0.498048944212,0.790453902256,0.998596048664,0.95997871577,0.186664275438,0.193615984135,0.209304751072,0.738183493879,0.248529172689,0.742438518539,0.684344505949,0.807578335433,0.816337273758,0.10496886621,0.159877666005,0.240360051509,0.710967372155,0.698439108063,0.18406465643,0.383979373796,0.49705353252,0.370497888297,0.587164837205,0.820288288426,0.165590518185,0.856711605284,0.779239930289,0.94103992943,0.83090005574,0.545188027185,0.0832452789059,0.0474621604569,0.241742479027,0.426564202249,0.552640085266,0.735757389569,0.313587763482,0.926532360725,0.773743745566,0.616480633714,0.714689655965,0.478469110468,0.500210146892,0.955606604009
