DEGLU4	DEGLU5	DEINH3	MEGLU1	MEGLU10	MEGLU11	MEINH2	TEGLU17	TEGLU23	TEGLU4	TEINH12
firebrick	0.0401956488691443	0.00254201696105494	0.00161415532063222	0.00235267382259709	0.0201127744471379	0.0530978596122821	0.000230814762724985	0.0289431319352957	0.0141410056326852	0.0935417284887694	6.2818101851299e-05
firebrick1	8.67680632591565e-33	3.60524803969148e-30	8.42265179811073e-30	4.45500213270122e-29	1.81843501910199e-21	2.78738203543e-28	2.42971720254206e-30	4.46489050044003e-17	3.7966719709134e-20	3.37179188754333e-19	7.93863786126218e-22
firebrick3	0.210576179271457	1.97121493944093e-06	0.16647252613853	0.0270345094850051	3.17931388755681e-27	2.18444030077805e-15	0.0790683850867921	0.527872658303785	3.46302152251491e-08	0.999936029509204	1.94279437487193e-16
hotpink	0.0972111603841614	0.000170474310657886	0.111318674202507	0.00466374016333926	0.00533173841680811	0.000415926406396823	0.0231305778730229	0.0786474160666258	0.922224957205021	0.14422134128381	0.869223351616588
ivory4	2.84290151389096e-07	1.05201506867574e-08	3.36057250647903e-05	1.07458450081321e-08	3.62253740591067e-09	2.05021379774946e-10	7.39013360149541e-09	1.85345536181596e-06	0.00546062085424249	2.70819080844266e-10	1.45372986364736e-08
khaki3	0.0122430826635789	9.92343314983168e-10	0.000794115188108103	0.000735813911011719	1.46624612214434e-14	0.00101689317947882	0.0735360820789297	0.00311968047974567	1.15404786263576e-05	0.464627313572953	0.0221022076963744
lavenderblush2	0.635119132008271	0.016845004402318	0.0119592129959998	0.00754133235851762	0.000189245251619245	0.0292146172685766	0.00302988514641326	0.0261797890020609	0.0265976641880634	0.0258388161232866	0.00139091571875064
lemonchiffon3	0.00729443470518104	0.0229243327293604	8.25729239480833e-05	0.00184722802466844	0.00197110744323105	0.0365541102076015	0.000381833333496083	0.000321655841353143	9.14984680568503e-05	0.000200842469270757	0.00015003439558817
lightgoldenrod	0.000247079534488093	3.93294910828912e-07	3.33281052365747e-07	1.39489381750644e-05	0.00366111267796315	1.91716358034489e-05	4.78801151447915e-08	5.31581647634736e-07	9.97596614310125e-07	2.5665611571099e-07	2.72541329809736e-05
maroon4	0.00819446792640687	0.00553010653977245	0.000648865197796249	0.0026785642442537	0.000189112110220307	0.00674609834962497	0.00207633332381233	3.45417010212621e-05	0.000255573034389919	0.00844334527196402	0.0193123364947289
mediumpurple	9.48389502991404e-32	1.94726072515445e-28	1.36265157105129e-26	3.25905462873422e-23	1.61868418540092e-22	7.78325108781092e-22	7.13485645171103e-25	2.32602468209619e-17	2.81473310098384e-21	4.36650956454438e-16	6.76484211946357e-22
orange1	0.000533378892856145	0.000833334073136418	9.43628173943493e-06	5.1363103631822e-05	0.159585207631741	0.0180247029132031	2.30588861059892e-07	8.35195147932484e-05	0.000482723534880552	1.77494554127334e-11	0.000714740575917591
paleturquoise3	1.92312211663816e-14	1.49816958467703e-32	2.28909114563247e-17	2.05002261720993e-21	1.39182808106879e-06	1.55877355915137e-14	1.00142314586555e-23	6.63746629346577e-05	0.000203244699070723	9.65589907549438e-07	3.11237946330064e-06
pink1	7.39658873218079e-06	0.014299745693103	0.00901286037729179	0.070919517134649	0.268149436840326	0.036822889608882	0.000435784181780076	0.028317053962195	0.0641033086145533	0.0704175236973241	0.0509735996588555
purple	7.88694508045052e-06	9.68827543436585e-05	2.11098796650675e-05	0.00010576600562882	5.50737861301705e-06	0.00162515002941421	2.37453008433101e-06	8.8308664009978e-08	1.13213899557509e-05	4.9045635594559e-10	8.00443916605539e-08
rosybrown2	1.25121362319836e-05	1.4703658452453e-14	2.54604653542764e-11	1.16564397627985e-08	1.51571791906202e-13	8.91471148644703e-13	2.96996640626381e-09	0.002474565752865	1.36065946732385e-05	0.206273623539807	2.21826733403773e-09
tan2	0.000120251189834959	0.0110436850817036	0.113465458310909	0.032281230478168	0.00503349190176288	0.0848097176223961	0.128230975641371	0.000244021072362688	0.00206674308605313	0.000242563758513337	0.000185374240950447
tomato3	0.853472324953973	0.124676231767724	0.378803445807628	0.269237357168847	0.0845461941683293	0.258051570610601	0.186524982603838	0.487647117501111	0.328550901872711	0.444930366437963	0.500466204622706
wheat2	2.20409306597459e-08	5.09944485857857e-06	1.95619437287931e-06	9.99209179350375e-06	0.00835989278234155	0.045397260119543	9.0132781970548e-05	0.00189228515605908	0.00364833323382804	4.86001832916548e-06	0.00572110919316623
cyan3	9.00534035008539e-26	3.8603010944816e-29	2.69459382296176e-40	9.73162781110605e-33	5.75174623577408e-09	1.7177264916512e-20	1.24933940189321e-39	2.14406596552321e-08	1.2881625126704e-11	2.64101242207171e-19	4.44880183638978e-16
deepskyblue1	0.733293473912033	0.526047576106045	0.563886394077034	0.596191953942658	0.789306799540221	0.947439957662466	0.460979969081541	0.314766042322472	0.224538355891908	0.281853944813487	0.159280370088283
goldenrod2	1.19162846570076e-05	1.43723296977489e-15	2.18406586432821e-11	2.41653831520981e-09	5.16286981982091e-14	9.66398656374079e-15	9.95617621733434e-10	0.00166885757552965	1.0012529804265e-05	0.169657696644801	7.75251080028585e-10
goldenrod4	0.154368151332502	7.74814734095699e-06	2.14990876102101e-06	0.00927226964793111	0.00140678341598441	0.000257854887476292	0.127729996614331	0.573947126139946	0.0139544284029865	0.531172435972101	0.00928682542578883
hotpink1	0.000709765532744984	0.0005155145740929	8.62491085331149e-07	0.025594606595431	0.00479590246356954	0.279288768982182	0.00322118111450299	0.00937250204798928	0.00210559573269461	0.00442868224780695	0.00318773266326831
khaki4	0.949555006118002	0.456367780044054	0.950768845574684	0.898567696514983	0.0212373747908613	0.302491017538036	0.9723316386236	0.0961511204386281	0.134660064920417	0.512751303657299	0.0808319992725703
mediumpurple2	0.361595202508295	0.390598898855549	0.00968633956049947	0.525968747631078	0.432295358950071	0.055746021291242	0.113120652040437	0.319821997835026	0.421169816727224	0.0034228958818004	0.192122737156611
mistyrose4	0.0117218862567559	0.000282850656224699	0.00181088557481744	0.00325967906772607	3.07102693365573e-06	0.000101300769415988	0.00538208078028416	0.00124337054046949	0.000634745276172577	0.065071238601641	9.76861892718748e-05
olivedrab1	0.0659604493098358	3.38065787804034e-07	0.000196886109612354	0.000987690705888448	6.82928600087523e-07	2.33573003344447e-07	0.000353149746338971	0.150903733972014	0.0863240796145264	0.238305728586788	0.00136794085537012
palevioletred3	0.563585579649539	0.0783265124123675	0.820745118636413	0.386376379621445	1.76381060912132e-09	6.8561464384666e-05	0.489589831878682	0.988689614985519	0.00820343811794528	0.99881794185661	2.69019595020622e-05
pink2	0.441292166005417	0.408523776579805	0.00108586636970351	0.164453205892076	0.682908165178913	0.920677857231455	0.0881387701701805	0.250258073742302	0.146724033483818	0.118655345642269	0.318094598231658
skyblue2	0.299400934484936	0.223462887723981	0.342243867093862	0.536393212379441	0.0494301992038546	0.0632679911588221	0.359547736277449	0.361295992623965	0.509905251125517	0.743870561555566	0.0043592172514169
yellow3	0.00010168443041091	3.26814952351389e-06	1.09311053009733e-18	1.11496448486939e-06	0.000905965105922898	8.58535917564152e-06	8.29103541441163e-07	0.00180007831052155	0.00758863931535854	0.00842376961389186	0.00252497447627401
bisque2	0.00275595922457709	5.65140156921495e-06	0.000130312503861021	0.00196383797743955	5.17681074489043e-06	0.000772568829765976	0.000724474129038683	0.0733690652084855	0.00200740583676274	0.399203664273009	4.8003036439485e-05
chartreuse3	7.56560760011992e-10	3.59525589280136e-11	3.30586439657373e-16	8.7256901875491e-18	7.47311594760586e-06	2.22028911921117e-09	6.27788235586879e-21	7.52961885611988e-10	1.94727954201518e-10	6.43668994733761e-14	5.89438074964332e-12
cyan2	0.000124074842673517	0.0021941979934949	8.13756411367588e-05	5.211370010745e-06	0.254946362022462	0.0572848701928385	3.22474118116289e-07	0.0102660655964098	0.001730896643032	0.00383738592505484	0.000411232499571664
darkolivegreen	0.00710559647246083	0.00425412700929053	0.00240199539165946	6.59126853601129e-06	0.17355857291944	0.0261001394969314	1.38718180474563e-05	0.00138055879693224	0.00628860927137858	3.13215912371829e-07	5.83523643758042e-05
darkolivegreen2	1.09201970301613e-64	4.6231931772848e-47	3.55756807248255e-66	1.61040207514584e-58	3.63920312176307e-21	1.50088882262218e-26	1.1327240859295e-61	4.18203892304041e-23	3.03710324514053e-31	1.35132903435437e-43	5.46683522495449e-30
darkorange2	0.653293166110388	0.0290851548622303	0.149513254297298	0.0021956493528527	0.00196195465916922	0.00558168789070882	0.028336751330908	0.00451171006638448	0.0361877135423222	0.127857597093628	0.014369164464783
dodgerblue	1.50647937760681e-49	8.22243471635841e-47	2.46858081337593e-51	1.76014834110625e-42	4.04112722577742e-23	9.7292251248289e-37	5.86765637180485e-50	3.76610202635859e-17	2.60967865724292e-26	3.17282667366919e-20	3.47852292303015e-35
lightpink	0.0322337922543778	0.000504835500502792	0.0304135693286901	5.16955918137376e-08	4.53383869455795e-05	5.35025621357835e-05	0.0047060303588478	2.54476382229708e-05	0.000220241777494717	0.00302258324979227	0.0152532376261097
lightslateblue	0.512756058535249	0.415704222820071	0.0146664247446018	0.0461299480642703	0.68473979015434	0.755446099657557	0.0262809615263851	0.37840400558268	0.359513962512533	0.0920490899840478	0.0281846773594272
lightsteelblue	0.0320962804866334	0.015253073124471	0.000413172568688852	0.00104236479302703	0.0608196512426968	0.0662051443582321	0.000831923289307957	0.00713473174727447	0.000596689944476144	1.08454232052096e-05	0.00017179894511745
navajowhite3	0.315825909873404	0.568439888193447	0.480883741155549	0.616307600267645	0.768289591270258	0.432201539845321	0.173121772868908	0.254493607234287	0.327519116849402	0.116456818495619	0.304352170920242
navy	3.53064946238331e-06	9.1316377264012e-07	2.43190168041334e-08	7.71704792233702e-10	0.59965001721917	2.90484685680146e-05	1.12025415200091e-09	0.178607032080492	0.06602462776678	5.5941628126094e-08	0.0294708229723112
palegreen2	3.48730135695132e-11	5.11367974390027e-20	5.09432992503112e-08	3.48003959976307e-13	8.02483418064894e-47	6.50143353105556e-32	1.30352832333293e-09	2.86534005710982e-06	4.75985271007361e-17	0.460746810594536	3.31828698800088e-24
paleturquoise	1.39421140338712e-06	3.89956025342228e-07	2.30361878583766e-09	1.17562013848819e-11	4.66017651333421e-08	2.82293021588998e-07	4.4335441371778e-13	4.84002663382154e-05	0.000321119034702031	0.00200295849246004	1.12797592121915e-16
powderblue	2.99001934633006e-05	0.000162676462888116	2.79847263586569e-05	1.28082595367743e-08	0.00857638357655619	2.78929836657707e-06	1.57026290212944e-07	9.33133118672405e-05	3.33580195162628e-05	7.4042661713368e-06	3.82513679562758e-07
royalblue2	2.00177940814882e-05	0.000884430929921593	0.00117942087394501	0.0218326568567892	0.000994529082445207	0.0123948528363415	0.02475944707102	0.000999647919443472	0.0967759690352074	6.48134868442393e-07	0.0541092156081159
saddlebrown	0.0109230454037362	7.87773656538634e-05	0.00434746387956332	1.3788499024404e-07	1.68975254312848e-08	6.97890665280185e-09	0.00679808586180426	8.13531980704595e-07	4.94239204903698e-05	0.00607993720086365	0.000314537709629662
tan	2.4468562277911e-15	9.59763593899698e-20	3.58652337723203e-17	6.43152776419662e-22	6.49351918080718e-06	1.14717639582671e-10	3.24208394945559e-18	6.04088695055139e-05	6.61318955412778e-06	1.74077568174534e-10	1.71274357181726e-12
thistle4	0.131459034048092	0.0534138992408584	0.0939035370347907	0.0369493701236835	0.147039136531738	0.0419848535715231	0.0586957367326435	0.0480320755056649	0.0426833817643533	0.119145726644051	0.0728791672029274
tomato	3.00360947424846e-08	1.75383962672211e-09	1.11927791389075e-16	8.03501152559163e-23	1.79024968816949e-06	3.276824907534e-12	2.65680809768938e-23	1.24560126514857e-08	1.33368588204384e-09	1.93101301452381e-15	3.75825459176555e-14
violetred1	0.00159237769440438	0.210760602518019	0.0136618093846511	0.03045680241722	0.21535096116372	0.0209359917799666	0.017349036182387	0.0339429752511199	0.0288944025458631	0.00170425094045387	0.313280498436499
whitesmoke	0.108584384088261	0.0160968693938446	0.0279009409623939	0.00786185929025692	0.377679784569295	0.273613532264055	0.00255417130896901	0.229652635856763	0.0249090445566382	0.0887691995114834	0.0144460351553419
antiquewhite2	2.08827466615443e-07	5.19631533914251e-06	0.000148225132707877	0.000627249061064738	5.105963570206e-07	0.000457910291692791	0.00122957795972593	0.00211868767293908	0.000383239093510306	4.5086245535834e-05	0.00350996542327281
brown1	0.016564609951926	0.0263991444320721	0.0677290004823004	0.000492675036527686	0.00293080128987912	0.047877688327894	0.00646510795941228	0.0856157300158766	0.0177700845411074	0.00194235097420211	0.288639340093321
chartreuse1	1.48857640790352e-08	0.00054777130118843	2.83423444549932e-07	6.38682248176081e-06	8.58664029076632e-06	0.00591065501127212	3.88369756569511e-07	6.24597450686239e-08	7.71291004471124e-07	9.48863695457328e-11	4.28474636277869e-11
chocolate2	0.590290454446241	0.209550931991454	0.740998994775748	0.614578220147892	0.0364956451940467	0.278125736902584	0.881136975207945	0.590862023149071	0.6384193407435	0.356366065690533	0.213106801908622
cornsilk1	0.97433684224064	0.982985291708854	0.992385128163407	0.994627470285483	0.407654604895918	0.802833051151826	0.992072868926687	0.0651002635794317	0.607708569470617	0.518312537555628	0.911853624260199
goldenrod3	0.481090942177145	0.00047396620519967	0.00529695808607799	0.0441392946958245	0.000280734730115371	0.00359913512797492	0.0174852256032379	0.53686865503971	0.0364735003087351	0.9226338256417	0.00171946670353462
honeydew3	1.56065902341148e-05	0.00673580568839121	5.94475913721061e-05	9.89330163638624e-08	0.0196562409749512	0.0123072939899909	2.86482208556138e-07	2.37965135196839e-06	0.00196030937918168	2.2859679827966e-10	0.000317068193438155
hotpink2	7.23564020372244e-10	1.99944917901237e-08	1.2524700349454e-07	4.33838672825004e-07	5.46682219603782e-05	5.22448879099567e-05	1.36552353839304e-06	1.01747647995679e-07	0.000542130039851176	1.48128703415965e-07	0.000182404378679212
hotpink4	0.071046362234163	0.00212529534200839	0.632123169972358	0.399514578776733	5.74071397899681e-14	1.82011070620107e-08	0.518361716534708	0.00282496712285872	0.00342139353512836	0.214071232533386	0.228183636422015
lemonchiffon2	2.04715572390207e-08	6.1207097456988e-08	2.37553862650975e-09	1.0907584338553e-10	1.82983200406619e-06	6.95545837082477e-05	1.61443158284295e-08	8.44871234755673e-09	6.56017290654587e-07	1.71926108650839e-13	1.34716558624431e-05
