Name	Coefficient	Coefficient_std_error	Coefficient_P_value
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__blue2	2.3946994459e-08	2.16268329936e-08	0.134086096344
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__chartreuse1	4.3315642281e-08	3.91844510418e-08	0.134486795792
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__peachpuff	2.23677816219e-08	2.03901344603e-08	0.136322795801
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__goldenrod4	8.0526978314e-08	7.37885334164e-08	0.137565823553
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__coral3	4.08740871128e-08	3.87091002101e-08	0.145500175573
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__maroon	3.66818477794e-08	3.49979987666e-08	0.147293337596
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lightblue3	3.14598605256e-08	3.04105821951e-08	0.150450368407
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lightsalmon3	3.29967072653e-08	3.19753513817e-08	0.151049650303
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__darkolivegreen4	3.22083679106e-08	3.18106191065e-08	0.155648651521
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lightslateblue	6.8165428038e-08	6.87342601326e-08	0.16066604523
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__firebrick1	5.22492321138e-08	5.27115801958e-08	0.160786955085
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__maroon2	2.60560047425e-08	2.6354063293e-08	0.161407363637
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__dodgerblue3	5.34776946742e-08	5.42474290837e-08	0.162113013221
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__orange1	3.24115715693e-08	3.50890524348e-08	0.177822647595
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__tan1	2.27241817129e-08	2.48253296573e-08	0.180000616747
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__chartreuse2	1.84437802867e-08	2.02029161738e-08	0.180640563971
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__darkorchid	6.64357661901e-08	7.28545196249e-08	0.180911657252
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__darkolivegreen3	2.78020243711e-08	3.12718679829e-08	0.186990079462
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__honeydew2	8.52634363776e-08	9.6812635951e-08	0.189238576435
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__paleturquoise	2.05426164076e-08	2.36950365337e-08	0.192982338704
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__thistle3	5.5709951234e-08	6.50885131034e-08	0.196023603197
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__navajowhite3	3.68443503367e-08	4.41437650746e-08	0.201958951981
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__darkorchid1	5.63527436086e-08	7.01202578832e-08	0.210797104216
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__deeppink4	3.91192917859e-08	5.04100671345e-08	0.218868169874
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__indianred3	2.98610198967e-08	3.85950344772e-08	0.219553790303
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__palegreen4	3.04985740144e-08	3.97452933461e-08	0.221436550739
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__darkolivegreen	3.15393915978e-08	4.18872801158e-08	0.225737368931
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__hotpink	6.39684194989e-08	8.67218165394e-08	0.230370339988
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lemonchiffon2	2.59007107407e-08	3.66461282357e-08	0.239851939905
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__antiquewhite2	5.3744692928e-08	7.71965352908e-08	0.243149907722
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__coral2	6.96186226701e-08	1.00615512175e-07	0.244491483341
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lightsteelblue1	4.00775360661e-08	6.00869366374e-08	0.252388462146
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__chocolate2	4.68549628511e-08	7.05463562763e-08	0.253289896936
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__orangered2	4.6531368705e-08	7.01057889351e-08	0.253431323543
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__snow4	1.79586635851e-08	2.74831486833e-08	0.256735450939
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lightcyan3	1.73005242807e-08	2.68363285242e-08	0.259571154224
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__yellow2	2.95907769322e-08	4.62650362088e-08	0.261218732322
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__palevioletred1	1.96145802413e-08	3.11094899854e-08	0.264183259363
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__plum1	1.72563485832e-08	2.75004682419e-08	0.265168094214
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__blue4	4.23901788e-08	6.90680507072e-08	0.269691885071
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__hotpink4	4.61147500493e-08	7.55363652427e-08	0.270766202486
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__ivory	6.72991983728e-08	1.11480858278e-07	0.273026912845
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__cyan3	1.90693984153e-08	3.26714862402e-08	0.27972084739
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__darksalmon	2.454174944e-08	4.20718358765e-08	0.279835701996
