taxonomy_lvl1,taxonomy_lvl2,cell_type_all_lvl1,n
Endocrine,Pars_tuberalis,a19.ParsTuber1,150
Endocrine,Pars_tuberalis,a20.ParsTuber2,238
Glia,Astrocyte,a10.Astrocyte,99
Glia,Ependymal_cell,a09.Ependymocytes,467
Glia,Oligodendrocyte,a01.Oligodend3,392
Glia,Oligodendrocyte,a02.Oligodend2,131
Glia,Oligodendrocyte,a05.Oligodend1,224
Glia,Oligodendrocyte,a06.NG2-OPC,627
Glia,Tanycyte,a11.Tanycyte1,1184
Glia,Tanycyte,a12.Tanycyte2,3504
Immune,Perivascular_macrophages_and_microglia,a07.PVMMicro,330
Neuron,Neuron,a13.Neurons1,37
Neuron,Neuron,a14.Neurons2,502
Neuron,Neuron,a15.Neurons3,693
Neuron,Neuron,a16.Neurons4,533
Neuron,Neuron,a17.Neurons5,799
Neuron,Neuron,a18.Neurons6,10515
Other,Fibroblast,a08.Fibroblast,172
Vascular,Endothelial_cell,a03.EndothelialCells,240
Vascular,Mural_cell,a04.MuralCells,84
